"substance";"product";"SCI-Grow";"Reference.SCI-Grow";"Load.Factor.SCI";"BCF";"Reference.BCF";"Load.Factor.BCF";"SoilDT50";"Reference.SoilDT50";"Load.Factor.SoilDT50";"Birds.Acute.LD50.mg.kg";"Reference.Value.Birds";"Load.Factor.Birds";"Mammals.Acute.Oral.LD50.mg.kg.BW.day";"Reference.Value.Mammals";"Load.Factor.Mammals";"Fish.Acute.96hr.LC50.mg.l";"Reference.Value.Fish";"Load.Factor.Fish";"Aquatic.Invertebrates.Acute.48hr.EC50.mg.l";"Reference.Value.Aquatic.Invertebrates";"Load.Factor.Aquatic.Invertebrates";"Algae.Acute.72hr.EC50.Growth.mg.l";"Reference.Value.Algae";"Load.Factor.Algae";"Aquatic.Plants.Acute.7d.EC50.mg.l";"Reference.Value.Aquatic.Plants";"Load.Factor.Aquatic.Plants";"Earthworms.Acute.14d.LC50.mg.kg";"Reference.Value.Earthworms";"Load.Factor.Earthworms";"BeesLD50";"Reference.Value.Bees";"Load.Factor.Bees";"Fish.Chronic.21d.NOEC.mg.l.corrected";"Reference.Value.Fish.Chronic";"Load.Factor.Fish.Chronic";"water.phase.DT50.days";"Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted";"Reference.Value.Aquatic.Invertebrates.Chronic";"Load.Factor.Aquatic.Invertebrates.Chronic";"Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected";"Reference.Value.Earthworms.Chronic";"Load.Factor.Earthworms.Chronic";"concentration"
"Cyproconazol";"30008 1";0,377736750152061;12,5;20;28;5100;2,5;142;354;2,5;94;10;1;350;8;1;19;0,00021;30;22;0,00015;30;0,099;2e-05;3;0,059;0,00035;3;168;1;2;100;0,015;100;0,65;0,00015;3;0;0,29;0,00015;3;0,75;0,8;2;0,08
"Trifloxystrobin";"30008 1";1,42596620970786e-05;12,5;20;431;5100;2,5;0,34;354;2,5;2000;10;1;2000;8;1;0,022;0,00021;30;0,011;0,00015;30;0,0053;2e-05;3;1,93;0,00035;3;1000;1;2;105;0,015;100;0,008;0,00015;3;1,1;0,003;0,00015;3;3,5;0,8;2;0,1875
"Natrium-Tripolyphosphat";"30009 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;1
"Carfentrazone-ethyl";"30010 2";0,000270429161360288;12,5;20;176;5100;2,5;1;354;2,5;2250;10;1;5000;8;1;1,6;0,00021;30;9,8;0,00015;30;0,012;2e-05;3;0,0057;0,00035;3;820;1;2;200;0,015;100;0,11;0,00015;3;0,1;0,22;0,00015;3;0;0,8;2;0,033
"MCPP-P - Mecoprop-P";"30010 2";0,00441014047091435;12,5;20;3;5100;2,5;5,24;354;2,5;500;10;1;431;8;1;93;0,00021;30;91;0,00015;30;16,2;2e-05;3;1,6;0,00035;3;988;1;2;100;0,015;100;50;0,00015;3;92;22,7;0,00015;3;0;0,8;2;0,674
"Thiacloprid";"30011 1";0,000378501496446437;12,5;20;0;5100;2,5;8,4;354;2,5;49;10;1;444;8;1;24,5;0,00021;30;85,1;0,00015;30;60,6;2e-05;3;95,4;0,00035;3;105;1;2;28,07;0,015;100;0;0,00015;3;8,5;0,58;0,00015;3;62,5;0,8;2;0,48
"Daminozide";"30012 2";0,000756481089237482;12,5;20;0;5100;2,5;0,6;354;2,5;2250;10;1;5000;8;1;149;0,00021;30;75,5;0,00015;30;180;2e-05;3;127;0,00035;3;1000;1;2;0;0,015;100;0;0,00015;3;1;0;0,00015;3;0;0,8;2;0,86
"Diazinon";"30013 1";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,6
"Iodosulfuron-methyl-Natrium";"30014 2";0,00223898569199923;12,5;20;0;5100;2,5;2,7;354;2,5;2000;10;1;2448;8;1;100;0,00021;30;100;0,00015;30;0,07;2e-05;3;0,00083;0,00035;3;1000;1;2;115;0,015;100;10;0,00015;3;16;10;0,00015;3;0;0,8;2;0,05
"Mefenpyr-Diethyl";"30014 2";0,032263351379077;12,5;20;392,46415735346;5100;2,5;17,5;354;2,5;2000;10;1;5000;8;1;2,4;0,00021;30;53;0,00015;30;1,65;2e-05;3;12;0,00035;3;1000;1;2;900;0,015;100;0;0,00015;3;80;0;0,00015;3;0;0,8;2;0,15
"Diuron";"30015 1";0,0635047127965041;12,5;20;9,45;5100;2,5;75,5;354;2,5;1104;10;1;437;8;1;6,7;0,00021;30;5,7;0,00015;30;0,0027;2e-05;3;0,0183;0,00035;3;798;1;2;100;0,015;100;0,41;0,00015;3;8,8;0,096;0,00015;3;14,4;0,8;2;0,213
"Glyphosat";"30015 1";0,00535307472937412;12,5;20;0,5;5100;2,5;15;354;2,5;2250;10;1;2000;8;1;38;0,00021;30;40;0,00015;30;4,4;2e-05;3;12;0,00035;3;5600;1;2;100;0,015;100;25;0,00015;3;9,9;30;0,00015;3;28,8;0,8;2;0,15
"Terbuthylazin";"30015 1";0,347833087643203;12,5;20;34;5100;2,5;75,1;354;2,5;1236;10;1;1000;8;1;2,2;0,00021;30;21,2;0,00015;30;0,012;2e-05;3;0,0128;0,00035;3;141,7;1;2;27,3;0,015;100;0,09;0,00015;3;6;0,019;0,00015;3;0;0,8;2;0,238
"Cyanamide";"30016 1";0,00215912618942561;12,5;20;0;5100;2,5;1,2;354;2,5;350;10;1;142;8;1;43,1;0,00021;30;3,2;0,00015;30;6,7;2e-05;3;2,4;0,00035;3;111,6;1;2;0;0,015;100;3,7;0,00015;3;3,3;0,1;0,00015;3;0;0,8;2;0,52
"Alkyl-dimethyl-benzyl-ammoniumchlorid";"30017 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,15
"Aluminiumfosetyl (Fosetyl-Al)";"30018 2";0;12,5;20;0;5100;2,5;0,1;354;2,5;8000;10;1;7080;8;1;122;0,00021;30;100;0,00015;30;5,9;2e-05;3;79,7;0,00035;3;1000;1;2;731;0,015;100;100;0,00015;3;4;17;0,00015;3;0;0,8;2;0,8
"Epoxiconazole";"30019 1";0,123846554446731;12,5;20;70;5100;2,5;290;354;2,5;2000;10;1;3160;8;1;3,14;0,00021;30;8,69;0,00015;30;1,19;2e-05;3;0,014;0,00035;3;500;1;2;91,5;0,015;100;0,01;0,00015;3;65,8;0,63;0,00015;3;0,084;0,8;2;0,125
"Kresoxim-methyl";"30019 1";0,000270905375380647;12,5;20;220;5100;2,5;8,435;354;2,5;2150;10;1;5000;8;1;0,19;0,00021;30;0,186;0,00015;30;0,063;2e-05;3;0,301;0,00035;3;469;1;2;105;0,015;100;0,013;0,00015;3;0,85;0,032;0,00015;3;0;0,8;2;0,125
"Carfentrazone-ethyl";"30020 12";0,000270429161360288;12,5;20;176;5100;2,5;1;354;2,5;2250;10;1;5000;8;1;1,6;0,00021;30;9,8;0,00015;30;0,012;2e-05;3;0,0057;0,00035;3;820;1;2;200;0,015;100;0,11;0,00015;3;0,1;0,22;0,00015;3;0;0,8;2;4e-04
"Metsulfuron-methyl";"30020 12";0,68904822703351;12,5;20;1;5100;2,5;16,6;354;2,5;2510;10;1;5000;8;1;113;0,00021;30;120;0,00015;30;0,875;2e-05;3;0,00036;0,00035;3;1000;1;2;47,15;0,015;100;68;0,00015;3;115;150;0,00015;3;0;0,8;2;1e-04
"Carfentrazone-ethyl";"30020 2";0,000270429161360288;12,5;20;176;5100;2,5;1;354;2,5;2250;10;1;5000;8;1;1,6;0,00021;30;9,8;0,00015;30;0,012;2e-05;3;0,0057;0,00035;3;820;1;2;200;0,015;100;0,11;0,00015;3;0,1;0,22;0,00015;3;0;0,8;2;0,4
"Metsulfuron-methyl";"30020 2";0,68904822703351;12,5;20;1;5100;2,5;16,6;354;2,5;2510;10;1;5000;8;1;113;0,00021;30;120;0,00015;30;0,875;2e-05;3;0,00036;0,00035;3;1000;1;2;47,15;0,015;100;68;0,00015;3;115;150;0,00015;3;0;0,8;2;0,1
"Metsulfuron-methyl";"30021 3";0,68904822703351;12,5;20;1;5100;2,5;16,6;354;2,5;2510;10;1;5000;8;1;113;0,00021;30;120;0,00015;30;0,875;2e-05;3;0,00036;0,00035;3;1000;1;2;47,15;0,015;100;68;0,00015;3;115;150;0,00015;3;0;0,8;2;2e-05
"Cyproconazol";"30022 1";0,377736750152061;12,5;20;28;5100;2,5;142;354;2,5;94;10;1;350;8;1;19;0,00021;30;22;0,00015;30;0,099;2e-05;3;0,059;0,00035;3;168;1;2;100;0,015;100;0,65;0,00015;3;0;0,29;0,00015;3;0,75;0,8;2;0,1
"Cymoxanil";"30023 2";0,00114603044978757;12,5;20;0;5100;2,5;1,05;354;2,5;2945;10;1;760;8;1;29;0,00021;30;27;0,00015;30;0,254;2e-05;3;0,7;0,00035;3;1000;1;2;92,65;0,015;100;0,22;0,00015;3;0,3;0,067;0,00015;3;6,6;0,8;2;0,08
"Folpet";"30023 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,535
"Cymoxanil";"30024 2";0,00114603044978757;12,5;20;0;5100;2,5;1,05;354;2,5;2945;10;1;760;8;1;29;0,00021;30;27;0,00015;30;0,254;2e-05;3;0,7;0,00035;3;1000;1;2;92,65;0,015;100;0,22;0,00015;3;0,3;0,067;0,00015;3;6,6;0,8;2;0,048
"Folpet";"30024 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,36
"Kupfer (als Oxychlorid)";"30024 2";0;12,5;20;0;5100;2,5;0;354;2,5;173;10;1;950;8;1;43,8;0,00021;30;0,29;0,00015;30;0,033;2e-05;3;0;0,00035;3;489,6;1;2;12,1;0,015;100;0;0,00015;3;0;0,008;0,00015;3;15;0,8;2;0,18
"Azoxystrobin";"30025 1";0,19765837182962;12,5;20;0;5100;2,5;81,25;354;2,5;2000;10;1;5000;8;1;0,47;0,00021;30;0,23;0,00015;30;0,36;2e-05;3;3,2;0,00035;3;283;1;2;112,5;0,015;100;0,147;0,00015;3;6,1;0,044;0,00015;3;20;0,8;2;0,25
"Azoxystrobin";"30026 1";0,19765837182962;12,5;20;0;5100;2,5;81,25;354;2,5;2000;10;1;5000;8;1;0,47;0,00021;30;0,23;0,00015;30;0,36;2e-05;3;3,2;0,00035;3;283;1;2;112,5;0,015;100;0,147;0,00015;3;6,1;0,044;0,00015;3;20;0,8;2;0,2
"Cyproconazol";"30026 1";0,377736750152061;12,5;20;28;5100;2,5;142;354;2,5;94;10;1;350;8;1;19;0,00021;30;22;0,00015;30;0,099;2e-05;3;0,059;0,00035;3;168;1;2;100;0,015;100;0,65;0,00015;3;0;0,29;0,00015;3;0,75;0,8;2;0,08
"Dicamba";"30027 1";0,00376968441871336;12,5;20;15;5100;2,5;4;354;2,5;1373;10;1;1581;8;1;100;0,00021;30;41;0,00015;30;1,8;2e-05;3;0,45;0,00035;3;1000;1;2;100;0,015;100;180;0,00015;3;40;97;0,00015;3;0;0,8;2;0,0438
"Flurenol";"30027 1";0;12,5;20;303,389118419427;5100;2,5;1,5;354;2,5;0;10;1;6400;8;1;318;0,00021;30;86,7;0,00015;30;0;2e-05;3;0;0,00035;3;1000;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,0657
"MCPA";"30027 1";0,223556026400756;12,5;20;1;5100;2,5;24;354;2,5;234;10;1;962;8;1;72;0,00021;30;190;0,00015;30;79,8;2e-05;3;0,152;0,00035;3;325;1;2;200;0,015;100;15;0,00015;3;13,5;50;0,00015;3;0;0,8;2;0,219
"Metaldehyd";"30028 2";0,00423695491597105;12,5;20;11;5100;2,5;5,1;354;2,5;196;10;1;283;8;1;75;0,00021;30;78,4;0,00015;30;75,9;2e-05;3;0;0,00035;3;1000;1;2;100,25;0,015;100;37,5;0,00015;3;11,5;90;0,00015;3;0;0,8;2;0,05
"Metaldehyd";"30029 2";0,00423695491597105;12,5;20;11;5100;2,5;5,1;354;2,5;196;10;1;283;8;1;75;0,00021;30;78,4;0,00015;30;75,9;2e-05;3;0;0,00035;3;1000;1;2;100,25;0,015;100;37,5;0,00015;3;11,5;90;0,00015;3;0;0,8;2;0,05
"Cymoxanil";"30030 2";0,00114603044978757;12,5;20;0;5100;2,5;1,05;354;2,5;2945;10;1;760;8;1;29;0,00021;30;27;0,00015;30;0,254;2e-05;3;0,7;0,00035;3;1000;1;2;92,65;0,015;100;0,22;0,00015;3;0,3;0,067;0,00015;3;6,6;0,8;2;0,06
"Propineb";"30030 2";0;12,5;20;0;5100;2,5;4,3;354;2,5;5000;10;1;5000;8;1;0,33;0,00021;30;1,5;0,00015;30;0,055;2e-05;3;0;0,00035;3;700;1;2;103,95;0,015;100;0,082;0,00015;3;1;0,015;0,00015;3;0;0,8;2;0,7
"Propineb";"30031 2";0;12,5;20;0;5100;2,5;4,3;354;2,5;5000;10;1;5000;8;1;0,33;0,00021;30;1,5;0,00015;30;0,055;2e-05;3;0;0,00035;3;700;1;2;103,95;0,015;100;0,082;0,00015;3;1;0,015;0,00015;3;0;0,8;2;0,7
"Fluroxypyr";"30032 1";0,0782612807011475;12,5;20;62,1;5100;2,5;13,1;354;2,5;2000;10;1;2000;8;1;14,3;0,00021;30;100;0,00015;30;49,8;2e-05;3;12,3;0,00035;3;1000;1;2;108,55;0,015;100;100;0,00015;3;10,5;56;0,00015;3;0;0,8;2;0,052
"MCPA";"30032 1";0,223556026400756;12,5;20;1;5100;2,5;24;354;2,5;234;10;1;962;8;1;72;0,00021;30;190;0,00015;30;79,8;2e-05;3;0,152;0,00035;3;325;1;2;200;0,015;100;15;0,00015;3;13,5;50;0,00015;3;0;0,8;2;0,32
"Clofentezin";"30033 1";0;12,5;20;248;5100;2,5;96,8;354;2,5;3000;10;1;5200;8;1;0,015;0,00021;30;8e-04;0,00015;30;0,32;2e-05;3;0;0,00035;3;215;1;2;168,55;0,015;100;0,007;0,00015;3;2,1;0,025;0,00015;3;2,7;0,8;2;0,5
"Buprofezin";"30034 2";0,0115110724765376;12,5;20;509;5100;2,5;92,7;354;2,5;2000;10;1;2198;8;1;0,33;0,00021;30;0,42;0,00015;30;2,1;2e-05;3;2,33;0,00035;3;500;1;2;181,75;0,015;100;0,052;0,00015;3;16,8;0,08;0,00015;3;250;0,8;2;0,25
"Diuron";"30035 2";0,0635047127965041;12,5;20;9,45;5100;2,5;75,5;354;2,5;1104;10;1;437;8;1;6,7;0,00021;30;5,7;0,00015;30;0,0027;2e-05;3;0,0183;0,00035;3;798;1;2;100;0,015;100;0,41;0,00015;3;8,8;0,096;0,00015;3;14,4;0,8;2;0,25
"Terbazil";"30035 2";3,17960372415188;12,5;20;6;5100;2,5;117,5;354;2,5;2250;10;1;5000;8;1;46,2;0,00021;30;65;0,00015;30;0,042;2e-05;3;0,14;0,00035;3;1000;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,3
"Etoxazol";"30036 1";0,00677436540601399;12,5;20;2900;5100;2,5;18,375;354;2,5;2000;10;1;5000;8;1;2,8;0,00021;30;0,0071;0,00015;30;10;2e-05;3;0;0,00035;3;1000;1;2;200;0,015;100;0,015;0,00015;3;1,45;2e-04;0,00015;3;0;0,8;2;0,11
"Tepraloxydim";"30037 1";0,039686089052318;12,5;20;0;5100;2,5;9,35;354;2,5;2000;10;1;5000;8;1;82,5;0,00021;30;100;0,00015;30;78,2;2e-05;3;6,5;0,00035;3;1000;1;2;200;0,015;100;10;0,00015;3;100;50;0,00015;3;0;0,8;2;0,05
"Isoproturon";"30038 1";0,0486362216225364;12,5;20;177;5100;2,5;12;354;2,5;1401;10;1;1826;8;1;18;0,00021;30;0,58;0,00015;30;0,013;2e-05;3;0,031;0,00035;3;1000;1;2;197,5;0,015;100;1;0,00015;3;40;0,12;0,00015;3;0;0,8;2;0,5
"Isoproturon";"30039 1";0,0486362216225364;12,5;20;177;5100;2,5;12;354;2,5;1401;10;1;1826;8;1;18;0,00021;30;0,58;0,00015;30;0,013;2e-05;3;0,031;0,00035;3;1000;1;2;197,5;0,015;100;1;0,00015;3;40;0,12;0,00015;3;0;0,8;2;0,5
"Monolinuron";"30040 2";0,258214209759817;12,5;20;40;5100;2,5;55;354;2,5;1690;10;1;2100;8;1;42;0,00021;30;32,5;0,00015;30;0,001;2e-05;3;2,4;0,00035;3;1000;1;2;296;0,015;100;5;0,00015;3;0;0,56;0,00015;3;0;0,8;2;0,5
"Bromadiolone";"30041 12";0,0146665469814345;12,5;20;867;5100;2,5;33,5;354;2,5;138;10;1;0,56;8;1;8;0,00021;30;2;0,00015;30;0,017;2e-05;3;0;0,00035;3;4,74;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;9,3e-05
"Bromadiolone";"30041 2";0,0146665469814345;12,5;20;867;5100;2,5;33,5;354;2,5;138;10;1;0,56;8;1;8;0,00021;30;2;0,00015;30;0,017;2e-05;3;0;0,00035;3;4,74;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;2e-04
"Butafenacil";"30042 1";0,000583798582448375;12,5;20;112,719745617551;5100;2,5;1,5;354;2,5;2250;10;1;5000;8;1;3,9;0,00021;30;8,6;0,00015;30;0,0025;2e-05;3;0;0,00035;3;1250;1;2;20;0,015;100;0;0,00015;3;30;0;0,00015;3;0;0,8;2;0,1
"Fenpropidin";"30043 1";0,0167747992838027;12,5;20;163;5100;2,5;99,5;354;2,5;1899;10;1;1452;8;1;1,9;0,00021;30;0,54;0,00015;30;0,0057;2e-05;3;0;0,00035;3;500;1;2;10;0,015;100;0,32;0,00015;3;1,8;0,32;0,00015;3;10;0,8;2;0,75
"Asulam";"30044 1";0,00299676040177234;12,5;20;0;5100;2,5;3,2;354;2,5;1827;10;1;5000;8;1;91,3;0,00021;30;57,9;0,00015;30;0;2e-05;3;0,27;0,00035;3;1000;1;2;111,85;0,015;100;119,1;0,00015;3;0;6,4;0,00015;3;0;0,8;2;0,4
"Asulam";"30045 1";0,00299676040177234;12,5;20;0;5100;2,5;3,2;354;2,5;1827;10;1;5000;8;1;91,3;0,00021;30;57,9;0,00015;30;0;2e-05;3;0,27;0,00035;3;1000;1;2;111,85;0,015;100;119,1;0,00015;3;0;6,4;0,00015;3;0;0,8;2;0,4
"Iodosulfuron-methyl-Natrium";"30046 12";0,00223898569199923;12,5;20;0;5100;2,5;2,7;354;2,5;2000;10;1;2448;8;1;100;0,00021;30;100;0,00015;30;0,07;2e-05;3;0,00083;0,00035;3;1000;1;2;115;0,015;100;10;0,00015;3;16;10;0,00015;3;0;0,8;2;6e-06
"Mefenpyr-Diethyl";"30046 12";0,032263351379077;12,5;20;392,46415735346;5100;2,5;17,5;354;2,5;2000;10;1;5000;8;1;2,4;0,00021;30;53;0,00015;30;1,65;2e-05;3;12;0,00035;3;1000;1;2;900;0,015;100;0;0,00015;3;80;0;0,00015;3;0;0,8;2;9e-05
"Mesosulfuron-methyl";"30046 12";0,453427245360166;12,5;20;0;5100;2,5;43,5;354;2,5;2000;10;1;5000;8;1;100;0,00021;30;100;0,00015;30;0,2;2e-05;3;0,00062;0,00035;3;1000;1;2;9,3;0,015;100;32;0,00015;3;44;1,8;0,00015;3;150;0,8;2;3e-05
"Iodosulfuron-methyl-Natrium";"30046 2";0,00223898569199923;12,5;20;0;5100;2,5;2,7;354;2,5;2000;10;1;2448;8;1;100;0,00021;30;100;0,00015;30;0,07;2e-05;3;0,00083;0,00035;3;1000;1;2;115;0,015;100;10;0,00015;3;16;10;0,00015;3;0;0,8;2;0,006
"Mefenpyr-Diethyl";"30046 2";0,032263351379077;12,5;20;392,46415735346;5100;2,5;17,5;354;2,5;2000;10;1;5000;8;1;2,4;0,00021;30;53;0,00015;30;1,65;2e-05;3;12;0,00035;3;1000;1;2;900;0,015;100;0;0,00015;3;80;0;0,00015;3;0;0,8;2;0,09
"Mesosulfuron";"30046 2";0,859618313700461;12,5;20;0;5100;2,5;56,1;354;2,5;2000;10;1;0;8;1;100;0,00021;30;100;0,00015;30;0;2e-05;3;0;0,00035;3;1000;1;2;9,3;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,03
"Atrazin";"30047 2";0,409434616203461;12,5;20;4,3;5100;2,5;70,5;354;2,5;4237;10;1;1869;8;1;4,5;0,00021;30;85;0,00015;30;0,059;2e-05;3;0,019;0,00035;3;79;1;2;100;0,015;100;2;0,00015;3;0;0,25;0,00015;3;0;0,8;2;0,9
"Atrazin";"30048 1";0,409434616203461;12,5;20;4,3;5100;2,5;70,5;354;2,5;4237;10;1;1869;8;1;4,5;0,00021;30;85;0,00015;30;0,059;2e-05;3;0,019;0,00035;3;79;1;2;100;0,015;100;2;0,00015;3;0;0,25;0,00015;3;0;0,8;2;0,5
"Atrazin";"30049 2";0,409434616203461;12,5;20;4,3;5100;2,5;70,5;354;2,5;4237;10;1;1869;8;1;4,5;0,00021;30;85;0,00015;30;0,059;2e-05;3;0,019;0,00035;3;79;1;2;100;0,015;100;2;0,00015;3;0;0,25;0,00015;3;0;0,8;2;0,9
"Atrazin";"30050 1";0,409434616203461;12,5;20;4,3;5100;2,5;70,5;354;2,5;4237;10;1;1869;8;1;4,5;0,00021;30;85;0,00015;30;0,059;2e-05;3;0,019;0,00035;3;79;1;2;100;0,015;100;2;0,00015;3;0;0,25;0,00015;3;0;0,8;2;0,5
"Natriumdikegulac";"30051 1";0,270418492750686;12,5;20;0;5100;2,5;15;354;2,5;50000;10;1;19000;8;1;5000;0,00021;30;10000;0,00015;30;60;2e-05;3;9,6;0,00035;3;0;1;2;81;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,2
"Propoxycarbazone-sodium";"30052 2";0,980420432310828;12,5;20;0;5100;2,5;39,6;354;2,5;2000;10;1;2000;8;1;77,2;0,00021;30;107;0,00015;30;1,57;2e-05;3;0,0064;0,00035;3;1000;1;2;259,5;0,015;100;107;0,00015;3;50,7;13,8;0,00015;3;1,39;0,8;2;0,7
"Spinosad";"30053 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,48
