ID,Active,Reference,Mammals Dermal LD50 mg/kg,Mammals dermal <>,Quality Barometer - Mammals Dermal,Mammals Inhalation LC50 mg/l,Mammals Inhalation <>,Quality Barometer - Mammals Inhalation,WHO Classification,CLP classification 2013,CLP classification precautionary statements,EC Risk Classification,EC Safety Classification,General human health issues,Genotoxic?,Carcinogen?,Endocrine distrupter?,Reproduction/development effects?,Acetyl cholinesterase inhibitor?,Neurotoxicant?,Respiratory tract irritant?,Skin irritant,Eye irritant,Handling issues,Acceptable Daily Intake (ADI) mg/kg bw,Quality Barometer - ADI,ARfD mg/kg BW/day,Quality Barometer - ARfD,Acceptable Operator Exposure Level (AOEL) Systemic,Quality Barometer - AOEL,Percutaneous Penetration study %,Quality Barometer - Percutaneous Penetration,Dangerous Substances Directive 76/464,Exposure Routes - Public,Exposure Routes - Occupational,Examples of European MRLs  mg/Kg,MRL Comments,Drinking Water MAC ug/l,MAC ref
"2464","N-nitroso MAB1a",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2465","(4R)-5-O-demethyl-4-deoxy-4-(formylmethylamino)-avermectin A1a","NOA 415692",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"688","benzo(1,2,3)thiadiazole-7-carboxylic acid","CGA 210007","2000",">","A5 Rat",,,,"NL",,,,,"[May cause anaemia], [Possible liver and thymus toxicant]","A0; B0; C0; D0; E2","No data","No data","No data","No data","No data","No data","No","No data","[No information available]",,,,,,,,,,,,,,,
"689","2-hydroxy-2',6'-diethyl-N-(methoxymethyl)acetanilide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"690","methomyl oxime","IN-X1177",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"691","aldicarb sulfoxide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","Possible","No data","Possible","Possible","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"692","3-phenoxybenzoic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"693","deethyl ametryne",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"694","4,6-bis(amino)-2-chloro-s-triazine","ENT 50982",,,,,,,"NL",,,,,"[No further information available]","A3; B0; C3; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"695","deethylatrazine","G-30033",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"696","desethyl azinphos-ethyl",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"697","sulfonmethylbenzamid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"698","(E)-2-(2-(6-(2-cyanophenoxy)pyrimidin-4-yloxy)phenyl)-3-methoxyacrylic acid","R234886",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"699","2,2-dimethyl-1,3-benzodioxol-4-ol","NC-7312",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"700","2-amino-N-isopropylbenzamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"701","4-fluoro-3-phenoxybenzoic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"702","3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylic acid",,"1000",">","A5 Rat",,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No","No","[No information available]",,,,,,,,,,,,,,,
"703","diazinecarboxylic acid, 2-(4-methoxy-(1,1-biphenyl)-3-yl),1-methylethyl ester","D-3598",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"704","bifenox acid",,,,,,,,"NL","[Health: H301], [Environment: H400, H410]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"705","allethrolone",,,,,,,,"NL","[Environment: H400]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"706","dihydroxyallethrolene",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"707","4-[2-hydroxy-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butoxy]-benzoic acid","BUE 2684",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","Possible","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"708","1,2,4-triazole","CGA 71019",,,,,,,"NL","[Health: H302, H319, H361d]",,"[Reproduction risk category 3: R63], [Xn - Harmful: R22], [Xi - Irritant: R36]","[S2, S36/37]","[No further information available]","A0; B0; C3; D0; E0","No data","No data","Yes","No data","No data","No data","Possible","Yes","[No information available]","0.023","A5","0.1","A5",,,,,,,,,,,
"709","4,4-dibromobenzilic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"710","4-tert-butyl-2-6,dinitroaniline",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"711","diisobutylamine",,,,,,,,"NL",,,,,"[May cause lung oedema]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[Corrosive]",,,,,,,,,,,,,,,
"712","tetrahydrophthalimide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"713","tetrahydrophthalamic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"714","1-naphthol",,,,,,,,"NL","[Health: H302, H312, H315, H318, H335]",,"[Xn - Harmful: R21/22, R41], [Xi - Irritant: R37/38]","[S2, S22, S26, S37/39]","[No further information available]","A0; B0; C3; D0; E0","No data","No data","Possible","No data","No data","Yes","Yes","No data","[No information available]",,,,,,,,,,,,,,,
"715","2-aminobenzimidazole",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C3; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"716","3-hydroxycarbofuran",,,,,,,,"NL","[Health: H300]",,"[T+ - Very Toxic: R28]",,"[No further information available]","A0; B0; C2; D0; E0","Possible","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"717","3-ketocarbofuran",,,,,,,,"NL","[Health: H301]",,"[T - Toxic: R25]",,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"718","carboxin sulfoxide",,,,,,,,"NL","[Not classified: Obsolete]",,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"719","(RS)-2-chloro-3-(2-chloro-5-(4-(difluoromethyl)-4,5-dihydro-3-methyl-5-oxo-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)propionic acid",,,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"720","3-(2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)propanoic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"721","(2E)-3-(2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)acrylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"722","2,5-dichloroaniline",,,,,,,,"NL","[Health: H301, H311, H331, H373], [Environment: H400, H410]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"723","oxychlordane",,,,,,,,"NL","[Health: H302]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","Possible","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,"List I",,,,,,
"724","trichloracetaldehyde",,,,,,,,"NL","[Health: H301, H315, H319, H335]",,,,"[No further information available]","A0; B0; C0; D0; E2","No data","No data","Possible","No data","No data","No data","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"725","dichloracetic acid","DCA",,,,,,,"NL","[Health: H314], [Environment: H400]",,,,"[IARC Group 3 carcinogen]","A0; B0; C0; D0; E0","No","No data","No data","No data","No data","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"726","trichloroacetic acid","TCA",,,,,,,"NL","[Health: H314], [Environment: H400, H410]",,"[Xn - Harmful: R53], [N - Dangerous for the environment: R50, R53]",,"[IARC Group 2B carcinogen]","A0; B0; C0; D0; E0","Possible","No data","No data","No data","No data","No data","Yes","Yes","[Corrosive]",,,,,,,,,,,,,,,
"728","2-pyrroline-3-carbonitrile,4-bromo-2-(4-chlorophenyl)-5-(trifluoromethyl)-chlorfenapyr",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"729","4-hydroxy-2,5,6-trichloroisophtalonitrile","R182281",,,,,,,"NL",,,,,"[Liver and kidney toxicant], [May cause weight loss and anemia], [May damage bone marrow]","A0; B0; C0; D0; E3","No","No data","No data","No data","No data","No data","No data","No data","[No information available]","0.01","A5 Dog, SF=100","0.01","A5 Dog, SF=100","None allocated","A5",,,,,,,,,
"730","3-(3-chloro-p-tolyl)-1-methylurea",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"866","N-(3-(1-hydroxy-1-methyl-propyl)-5-isoxazolyl)-2,6,dimethoxybenzamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"867","(2RS)-3-cyclopropyl-2-(2-(methylsulfonyl)-4-(trifluoromethyl)benzoyl)-3-oxopropanenitrile","RPA 202248",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"868","2-mesyl-4-trifloromethylbenzoic acid","RPA 203328",,,,,,,"NL",,,,,"[No further information available]","A3; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"869","(E)-methoxyamino(alpha-(o-tolyloxy)-o-tolyl)acetic acid","BF 490-1",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"870","(RS)-alpha-cyano-3-(4-hydroxyphenoxy)benzyl-(Z)-(1RS)-cis-3-(2-chloro-3, 3, 3-trifluoropropenyl)-2, 2-dimethylcyclopropanecarboxylate",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"871","malathion monocarboxylic acid","MMCA",,,,,,,"NL",,,,,"[No information available]","A0; B0; C3; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"872","malathion dicarboxylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"873","ethylenethiourea",,,,,,,,"NL",,,"[Reproduction risk category 2: R61], [Xn - Harmful: R22]","[S45, S53]","[Various sources report this substance as mutagen, teratogen, and carcinogen], [IARC Group 3 carcinogen; USEPA - probable human carcinogen]","A0; B0; C0; D0; E3","Possible","Possible","Yes","No data","No data","No data","No data","No data","[No information available]","0.002","A5","0.05","A5","0.005","A5",,,,,,,,,
"731","3,5,6-trichloro-2-pyridinol",,"2000",">","V3 Rat",,,,"NL",,,,,"[No further information available]","A3; B3; C3; D0; E0","No data","No data","Possible","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"732","(Z)-2-chloro-3-(2-chloro-5-(1,3,dioxo-4,5,6,7-tertahydroisoindol-2-yl)phenyl)acrylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"733","(Z)-2-chloro-3-(2-chloro-5-(((2-hydroxycarbonyl)cyclohexen-1-yl)carbonylamino)phenyl)acrylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"734","2-(N-(3-((1Z)-2-carboxy-2-chlorovinyl)-4-chlorophenyl)carbamoy)--hydroxycyclohex-1-enecarboxylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"735","clethodim sulfoxide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"736","clethodim sulfone",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"737","2-hydroxy-3-fluoro-5-chloro-pyridine","CGA 302371",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"738","4-chloro-5-p-tolylimidazole-2-carbonitrile",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"739","4-chloro-5-p-tolylimidazole-2-carboxamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"740","4-chloro-5-p-tolylimidazole-2-carboxylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"741","2,4-dichloroaniline",,,,,,,,"NL","[Health: H301, H311, H318, H331, H373], [Environment: H400, H410]",,,,"[May cause severe eye damage]","A0; B0; C0; D0; E0","No data","No data","Possible","No data","No data","No data","No data","Yes","[No information available]",,,,,,,,,,,,,,,
"742","cycloxydim sulfoxide","BH 517-TSO",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"743","cycloxydim sulfone","BH 517-TSO2",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"744","N-cyclopropylmethoxy-2,3-difluoro-6-trifluoromethylbenzamidine","149-F",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"745","((Z)-N-(alpha-cylcopropylmethoxyimino-2,3-difluoro-6-trifluoromethylbenzyl)carbamoylacetic acid","149-F11",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"748","cyhalofop amide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"749","cyhalofop diacid","XDE-537 ",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"750","4-cyclopropyl-6-methyl-pyrimidine-2-ylamine","CGA 249287",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"751","3-(4-cyclopropyl-6-methylpyrimidin-2-ylamino)phenol","CGA 275535",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"752","melamine","CGA 235129","1000",">","A5 Rat","3.25",,"AC4 Rat","NL","[Health: H314, H373], [Evironment: H400, H410]",,,,"[Urinary bladder toxicant], [Possible kidney toxicant], [IARC Group 3 carcinogen]","A0; B0; C0; D0; E0","Possible","No data","No","No","No data","No data","No","No","[No information available]",,,,,,,,,,,,,,,
"754","DDE","HSDB 1625",,,,,,,"NL","[Health: H302, H311, H315, H331, H332], [Environment: H400, H410]","[P261, P264, P270, P271, P273, P280, P301+P312, P302+P352, P304+P312, P304+P340, P311, P312, P321, P322, P330, P332+P313, P361, P362, P363, P391, P403+P233, P405, and P501]",,,"[Toxic if ingested, inhaled and via skin absorption], [Xenoestrogen agent], [Mutagenic], [Endocrine issues - Competitive binding to androgen receptors]","A0; B0; C0; D0; E2","Yes","Yes","Yes","No data","Yes","No data","Yes","No","[P,P'-DDE is sensitive to exposure to light.], [Incompatible with strong oxidising substances and strong bases]",,,,,,,,,"List I",,,,,,
"756","decamethrinic acid","AE F108565",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"757","ethyl 3-hydroxycarbamate",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"758","pyrimidinol","GS-27550",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"759","3,6-dichlorosalicylic acid","NOA 414746",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"760","2,6-dichlorobenzoic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"761","dimethylaminosulfanilide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"762","2,4-dichlorophenol",,,,,,,,"NL",,,,,"[No further information available]","A2; B1; C2; D0; E0","Possible","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"763","2,4-dichloroanisole",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"765","2,6-dichloro-1,4-phenylenediamine","CI 37020 ",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","Possible","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"766","butanamide",,,,,,,,"NL","[None allocated at this time]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"767","4-chlorophenylurea",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"768","2,6-difluorobenzoic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"769","2-(3-trifluoromethylphenoxy)nicotinamide","AE-0542291",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"770","2-(3-trifluoromethylphenoxy)nicotinic acid","AE-B107137",,,,,,,"NL",,,,,"[No further information available]","A2; B0; C3; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"771","2-((2,4-dimethyl-3-thienyl)-((1S)-2-methoxy-1-methyl-ethyl)amino)-2-oxo-acetic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"772","2-((2,4-dimethyl-3-thienyl)-((1S)-2-methoxy-1-methyl-ethyl)amino)-2-oxo-ethanesulfonic",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"773","(E-O-(2-hydroxycarbonyl-5-methyl)phenoxymethyl)-2-methoxyimino-N-methylphenyl acetamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"774","(E-O-(5-hydroxycarbonyl-2-methyl)phenoxymethyl)-2-methoxyimino-N-methylphenyl acetamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"775","1-(3,4-dichlorophenyl)-3-methylurea",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"776","3,4-dichlorophenyl urea",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"777","endosulfan sulfate",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"778","(1RS)-2-amino-2-oxo-1-(3-phenoxyphenyl)ethyl","SD-47117",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"779","ethiofencarb sulfoxide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
