ID,Active,Reference,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7,Alias8
"702","3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylic acid",,"DCVA",,,,,,,
"703","diazinecarboxylic acid, 2-(4-methoxy-(1,1-biphenyl)-3-yl),1-methylethyl ester","D-3598",,,,,,,,
"704","bifenox acid",,,,,,,,,
"705","allethrolone",,,,,,,,,
"706","dihydroxyallethrolene",,,,,,,,,
"707","4-[2-hydroxy-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butoxy]-benzoic acid","BUE 2684","bitertanol-benzoic acid","bitertanol M01",,,,,,
"708","1,2,4-triazole","CGA 71019","1H-1,2,4-triazole","BF 480-16","RH-0118","1,2,4-T","AE C500859",,,
"709","4,4-dibromobenzilic acid",,,,,,,,,
"710","4-tert-butyl-2-6,dinitroaniline",,"4TB2,DDNA","DNTBA",,,,,,
"711","diisobutylamine",,"bis(2-methylpropyl)amine","di-sec-butylamine",,,,,,
"712","tetrahydrophthalimide",,"THPI",,,,,,,
"713","tetrahydrophthalamic acid",,"THPAM",,,,,,,
"714","1-naphthol",,"1-hydroxynaphthalene","carbaryl metabolite",,,,,,
"715","2-aminobenzimidazole",,"2-AB",,,,,,,
"716","3-hydroxycarbofuran",,"3-hydroxycarbofuran","3-OH-carbofuran",,,,,,
"717","3-ketocarbofuran",,"3-oxocarbofuran ","carbofuran 3-keto",,,,,,
"718","carboxin sulfoxide",,"carboxin M06","P/V-16",,,,,,
"719","(RS)-2-chloro-3-(2-chloro-5-(4-(difluoromethyl)-4,5-dihydro-3-methyl-5-oxo-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)propionic acid",,"F8426-chloropropionic acid","F8426 CPA",,,,,,
"720","3-(2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)propanoic acid",,"F8426-propionic acid","F8426 PA",,,,,,
"721","(2E)-3-(2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)acrylic acid",,"F8426-cinnamic acid","F8426 CA",,,,,,
"722","2,5-dichloroaniline",,,,,,,,,
"723","oxychlordane",,"chlordane metabolite","octachlor epoxide","oxychlordane",,,,,
"724","trichloracetaldehyde",,"chloral hydrate","chloral",,,,,,
"725","dichloracetic acid","DCA","dichloroethanoic acid",,,,,,,
"726","trichloroacetic acid","TCA","aceto-caustin","trichloracetic acid",,,,,,
"728","2-pyrroline-3-carbonitrile,4-bromo-2-(4-chlorophenyl)-5-(trifluoromethyl)-chlorfenapyr",,,,,,,,,
"729","4-hydroxy-2,5,6-trichloroisophtalonitrile","R182281","SDS-3701","TPN-OH",,,,,,
"730","3-(3-chloro-p-tolyl)-1-methylurea",,"desmethyl chlorotoluron",,,,,,,
"731","3,5,6-trichloro-2-pyridinol",,"TCP","pyridinol","trichloropyridinol",,,,,
"732","(Z)-2-chloro-3-(2-chloro-5-(1,3,dioxo-4,5,6,7-tertahydroisoindol-2-yl)phenyl)acrylic acid",,"cinidon-ethyl-M01","615M01",,,,,,
"733","(Z)-2-chloro-3-(2-chloro-5-(((2-hydroxycarbonyl)cyclohexen-1-yl)carbonylamino)phenyl)acrylic acid",,"cinidon-ethyl-M03","615M03",,,,,,
"734","2-(N-(3-((1Z)-2-carboxy-2-chlorovinyl)-4-chlorophenyl)carbamoy)--hydroxycyclohex-1-enecarboxylic acid",,"cinidon-ethyl-M04","615M04",,,,,,
"735","clethodim sulfoxide",,"CSO",,,,,,,
"736","clethodim sulfone",,"CSO2",,,,,,,
"737","2-hydroxy-3-fluoro-5-chloro-pyridine","CGA 302371",,,,,,,,
"738","4-chloro-5-p-tolylimidazole-2-carbonitrile",,"CCIM",,,,,,,
"739","4-chloro-5-p-tolylimidazole-2-carboxamide",,"CCIM-AM",,,,,,,
"740","4-chloro-5-p-tolylimidazole-2-carboxylic acid",,"CTCA",,,,,,,
"741","2,4-dichloroaniline",,"2,4-DCA","1-amino-2,4-dichlorobenzene",,,,,,
"742","cycloxydim sulfoxide","BH 517-TSO","TSO",,,,,,,
"743","cycloxydim sulfone","BH 517-TSO2","T2SO","cycloxydim oxazole metabolite",,,,,,
"744","N-cyclopropylmethoxy-2,3-difluoro-6-trifluoromethylbenzamidine","149-F",,,,,,,,
"745","((Z)-N-(alpha-cylcopropylmethoxyimino-2,3-difluoro-6-trifluoromethylbenzyl)carbamoylacetic acid","149-F11",,,,,,,,
"748","cyhalofop amide",,,,,,,,,
"749","cyhalofop diacid","XDE-537 ","DE-537",,,,,,,
"750","4-cyclopropyl-6-methyl-pyrimidine-2-ylamine","CGA 249287",,,,,,,,
"751","3-(4-cyclopropyl-6-methylpyrimidin-2-ylamino)phenol","CGA 275535",,,,,,,,
"752","melamine","CGA 235129","cyanurotriamine","cyanuramide","melamine formaldehyde",,,,,
"754","DDE","HSDB 1625","dichlorodiphenyldichloroethylene","DDT dehydrochloride","p,p'-DDE",,,,,
"756","decamethrinic acid","AE F108565","Br2CA","becisthemic acid","RU23441","BCS-BY77644",,,,
"757","ethyl 3-hydroxycarbamate",,"EHPC",,,,,,,
"758","pyrimidinol","GS-27550","diazinon metabolite","G 27550",,,,,,
"759","3,6-dichlorosalicylic acid","NOA 414746","2-oxy-3,6-dichlorobenzoic acid ","DCSA",,,,,,
"760","2,6-dichlorobenzoic acid",,"2,6-DCBA",,,,,,,
"761","dimethylaminosulfanilide",,"DMSA",,,,,,,
"762","2,4-dichlorophenol",,"2,4-DCP",,,,,,,
"763","2,4-dichloroanisole",,"1,3-dichloro-4-methoxybenzene","2,4-DCA",,,,,,
"765","2,6-dichloro-1,4-phenylenediamine","CI 37020 ","DCPD","fast brown RR salt","2,6-dichloro-p-phenylenediamine","NCI-C50260",,,,
"766","butanamide",,"butyramide",,,,,,,
"767","4-chlorophenylurea",,"CPU",,,,,,,
"768","2,6-difluorobenzoic acid",,"DFBA",,,,,,,
"769","2-(3-trifluoromethylphenoxy)nicotinamide","AE-0542291","M&B 43625","MB43625",,,,,,
"770","2-(3-trifluoromethylphenoxy)nicotinic acid","AE-B107137",,,,,,,,
"771","2-((2,4-dimethyl-3-thienyl)-((1S)-2-methoxy-1-methyl-ethyl)amino)-2-oxo-acetic acid",,"dimethenamid-M23","dimethenamid-P-M23","M646PH023",,,,,
"772","2-((2,4-dimethyl-3-thienyl)-((1S)-2-methoxy-1-methyl-ethyl)amino)-2-oxo-ethanesulfonic",,"dimethenamid-M27","dimethenamid-P-M27","dimethenamid sulfonate","M656PH027",,,,
"773","(E-O-(2-hydroxycarbonyl-5-methyl)phenoxymethyl)-2-methoxyimino-N-methylphenyl acetamide",,"dimoxystrobin-M08","505M08",,,,,,
"774","(E-O-(5-hydroxycarbonyl-2-methyl)phenoxymethyl)-2-methoxyimino-N-methylphenyl acetamide",,"dimoxystrobin-M09","505-M09",,,,,,
"775","1-(3,4-dichlorophenyl)-3-methylurea",,"desmethyl diuron","DCPMU","monomethyldiuron",,,,,
"776","3,4-dichlorophenyl urea",,"DCPU",,,,,,,
"777","endosulfan sulfate",,"thiodan sulfate",,,,,,,
"778","(1RS)-2-amino-2-oxo-1-(3-phenoxyphenyl)ethyl","SD-47117","CONH2-Fen",,,,,,,
"779","ethiofencarb sulfoxide",,,,,,,,,
"780","ethiofencarb sulfone",,,,,,,,,
"781","1-(2-ethoxyphenoxysulfonyl)-3-(6-hydroxy-4-methoxypyrimidin-2-yl)-urea","AE-F126663","HOE 126663",,,,,,,
"782","1-(2-ethoxyphenoxysulfonyl)-3-guanylurea or 3-amidino-1(2-ethoxyphenoxysulfonyl)-urea)","AE-F136086","HOE 136086",,,,,,,
"783","2-amino-4,6-dimethoxypyrimidine","AE-F092944","HOE 092944","J290","BCS-AA25052","amidosulfuron-ADMP",,,,
"784","6-ethoxy-2-ethyl-4-hydroxypyrimidine",,"EEHP",,,,,,,
"785","alpha-hydroxy-alpha-methyl-4-phenoxybenzene acetic acid","IN-JS940",,,,,,,,
"786","5-[4-(4-hydroxyphenoxy)phenyl-5-methyl-3-(phenylamino)-2,4-oxazolidine dione","IN-KZ007",,,,,,,,
"787","(S)-5-methyl-5-phenylimidazolidine-2,4-dione","RPA 412636","S-enantiomer of RPA 717879",,,,,,,
"788","(S)-5-methyl-2-methylthio-3-(2-nitrophenylamino)-5-phenyl-3,5-dihydroimidazol-4-one","RPA 413255","S-enantiomer of RPA 410914",,,,,,,
"789","(S)-5-methyl-2-methylthio-5-phenyl-3,5-dihydroimidazol-4-one","RPA 412708","S-enantiomer of RPA 408056",,,,,,,
"790","fenamiphos sulfoxide",,"FOX",,,,,,,
"848","trans-5-(4-chlorophenyl)-4-methyl-2-oxothiazolidine-3-carboximide","PT-1-2",,,,,,,,
"849","trans-5-(4-chlorophenyl)-4-methyl-2-oxothiazolidine","PT-1-3",,,,,,,,
"850","5-methyl-2-(3H)-oxazolone",,,,,,,,,
"851","1-(2,4-dichlorophenyl)2-imidazol-1-ylethanol","R014821","T000824",,,,,,,
"852","2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-3,5,pyridinecarboxylic acid","CL-312622","imazamox dicarboxylic acid","M720H002",,,,,,
"853","5-hydroxy-6-((4RS)-4-isopropyl-4-methyl-5-oxo-4,5-dihydro-1H-imidazol-2-yl)nicotinic acid","CL-354825",,,,,,,,
"854","6-chloronicotinic acid",,"BNF 5119B","BNF 5518A","NTN33893-6-CNA","imidocloprid metabolite M14","6-CNA",,,
"855","methyl-7-chloro-2,5-dihydro-2-(((trifluoromethoxy)phenyl)amino)carbonyl(indeno(1,3,4)oxadiazine-4a(3H)-carboxylate","IN-JT333",,,,,,,,
"856","(E)-methyl 5-chloro-2,3-dihydro-2-hydroxy-1-((((methoxycarbonyl)(4-trifluoromethoxy)phenyl)amino)carbonyl)hydrazono)-1H-indene-2-carboxylate","IN-KG433",,,,,,,,
"857","(4-trifluoromethoxy)phenyl urea","IN-MK638","triflumuron M08","TMPU",,,,,,
"859","methyl 2-(3- (4-hydroxy-6-methyl-1,3,5-triazin-2-yl)ureidosulfonyl) benzoate","AE-F161778",,,,,,,,
"860","3,5-di-iodo-4-hydroxybenzamide",,,,,,,,,
"861","3,5-di-iodo-4-hydroxybenzoic acid",,"ioxynic acid",,,,,,,
"862","N-(3,5-dichlorophenyl)3-isopropyl-2,4-dioxoimidazoline-1-carboxamide","RP-30228",,,,,,,,
"863","1-(3,5-dichlorophenyl)-5-isopropyl biuret","RP-36221",,,,,,,,
"864","p-methyl-phenethylamine",,"PMPA",,,,,,,
"865","desmethylisoproturon",,"DM-IPU","monodesmethylisoproturon","IPU-M1","isoproturon-M1",,,,
"866","N-(3-(1-hydroxy-1-methyl-propyl)-5-isoxazolyl)-2,6,dimethoxybenzamide",,"isoxaben-M01","1-OH isoxaben","hydroxy-isoxaben",,,,,
"867","(2RS)-3-cyclopropyl-2-(2-(methylsulfonyl)-4-(trifluoromethyl)benzoyl)-3-oxopropanenitrile","RPA 202248",,,,,,,,
"868","2-mesyl-4-trifloromethylbenzoic acid","RPA 203328",,,,,,,,
"869","(E)-methoxyamino(alpha-(o-tolyloxy)-o-tolyl)acetic acid","BF 490-1","BF 490/M1",,,,,,,
"870","(RS)-alpha-cyano-3-(4-hydroxyphenoxy)benzyl-(Z)-(1RS)-cis-3-(2-chloro-3, 3, 3-trifluoropropenyl)-2, 2-dimethylcyclopropanecarboxylate",,"hydroxylated cyhalothrin XV",,,,,,,
"871","malathion monocarboxylic acid","MMCA","malathion alpha-monoacid",,,,,,,
"872","malathion dicarboxylic acid",,"MDCA","malathion diacid",,,,,,
"873","ethylenethiourea",,"ethylene thiourea","2-imidazoline-2-thiol","ETU",,,,,
"874","ethyleneurea",,"EU","aziridine-1-carboxamide ","2-imidazolidone",,,,,
"876","2-methyl-4-chlorophenol",,"4-chloro-2-cresol","2-MCP",,,,,,
"879","benzothiazole",,,,,,,,,
"880","benzothiazolyloxyacetic acid",,,,,,,,,
"881","5-amino-2,4-dimethyltrifluoromethanesulfonanilide",,,,,,,,,
"882","4,6-dimethoxypyrimidine-2-yl-urea","AE-F099095",,,,,,,,
"884","4-methylsulfonyl-2-nitrobenzoic acid",,"MNBA",,,,,,,
"885","2-amino-4-methylsulfonylbenzoic acid",,"AMBA",,,,,,,
"886","N-(2,6-dimethylphenyl)-N-(methoxyacetyl)alanine","CGA 62826 (racemate)",,,,,,,,
"888","desamino-metamitron",,"DES",,,,,,,
"889","metazachlor oxalic acid","BH479-4","479M04","Metazachlor M04",,,,,,
"890","metazachlor sulfonic acid","BH479-8","479M08","Metazochlor M08",,,,,,
"891","methiocarb sulfoxide",,"methiocarb-M01",,,,,,,
"892","methiocarb sulfoxide phenol",,"methiocarb-M04",,,,,,,
"893","methiocarb sulfone phenol",,"methiocarb-M05",,,,,,,
"894","methiocarb methoxy sulfone",,"methiocarb-M10",,,,,,,
"954","N-(4,6-dimethoxy-2-pyrimidinyl)-N-(3-(ethylsulfonyl)-2-pyridinyl)urea","IN-70941","PPU",,,,,,,
"955","N-(3-(ethylsulfonyl)-2-pyridinyl)-4,6-dimethyoxy-2-pyrimidinamine","IN-70942",,,,,,,,
"956","sethoxydim-sulfoxide",,,,,,,,,
"957","6-(2-ethylsulfinylpropyl)-4-oxy-2-propyl-4,5,6,7-tetrahydro-1,3,benzoxazole",,,,,,,,,
"958","methylcyclohexylurea",,,,,,,,,
"959","methylcyclohexylamine",,"N-cyclohexylmethylamine",,,,,,,
"960","N-allyl-4,5-dimethylthiophene-3-carboxamide","CP-240659","MON 65513","desilated silthiofam",,,,,,
"961","6-deisopropyl atrazine","G-28279","DIA","desethyl simazine","desisopropylatrazine",,,,,
"962","2-hydroxy-4,6-bis(ethlyamino)-S-triazine",,"hydroxysimazine",,,,,,,
"964","3-hydroxymethyl sulfentrazone (N-(2,4-dichloro-5-(4-(difluoromethyl)-yl)pheny)methanesulfonamide",,,,,,,,,
"966","desmethyl sulfosulfuron","MON 52756",,,,,,,,
"967","sulfosulfuron aminopyrimidine","CP 017477","aminopyrimidine",,,,,,,
"968","sulprofos sulfoxide",,,,,,,,,
"969","sulprofos sulfone",,,,,,,,,
"970","3,5-dichloro-2,4-difluorophenylurea",,"CFPU",,,,,,,
"971","thiophene sulfonamide","IN-W8268",,,,,,,,
"973","O-desmethylthifensulfuron methyl","IN-L9226",,,,,,,,
"974","thiofanox sulfoxide",,,,,,,,,
"975","thiofanox sulfone",,,,,,,,,
"976","thiometon sulfoxide",,,,,,,,,
"977","thiometon sulfone",,,,,,,,,
"978","N,N dimethyl carbamosulfonic acid",,"DMCS","dimethyldithiocarbamate",,,,,,
"979","dithiocarbamate",,,,,,,,,
"980","dimethylamine",,"DMA","N-methylmethanamine",,,,,,
"981","O-(2,6-dichloro-4-methylphenyl) O-methyl O-hydrogen phosphorothioate",,"DM-TM",,,,,,,
"982","N,N-dimethyl-N'-p-tolysulphamide",,"DMST",,,,,,,
"983","O-demethyl triasulfuron","CGA 195660",,,,,,,,
"984","N-methyl triazine amine","IN-L5296",,,,,,,,
"986","dichloroethanol",,,,,,,,,
"989","(E,E)-trifloxystrobin acid","CGA 321113","EETFA",,,,,,,
"990","4-chloro-2-(trifluoromethyl)aniline","FA-1-1",,,,,,,,
"991","trinexapac","CGA 179500","trinexapac acid",,,,,,,
"992","(1R,3R,E)-3-(4-chlorobenzylidene)-5,5-dimethyl-1-((1H)-1,2,4-triazol-1-ylmethyl)-cyclopentan-1,3-diol","RPA 406341","triticonazole trans diol",,,,,,,
"993","(E)-2-(4-chlorobenzylidene)-5,5-dimethyl-1-((1H)-1,2,4-triazol-1-ylmethyl)-cyclopentan-1,3-diol","RPA 404766","triticonazole-cis-diol",,,,,,,
"994","2-chloro-5((E)-((2RS)-2-hydroxy-3,3-dimethyl-2-(1H-1,2,4-triazole-1-ylmethyl)cyclopentylidenc)methyl)phenol","RPA 407922",,,,,,,,
"995","mercaptan",,"methanethiol","thiomethyl alcohol","thiomethanol",,,,,
"996","3,5-dichloro-N-(2-carboxy-1-ethyl-1-methyl-2-oxoethyl)-4-methylbenzamide","RH-163353",,,,,,,,
"997","3,5-dichloro-N-(1-ethyl-1-methyl-2-oxopropyl)-4-methylbenzamide","RH-127450","RH7450",,,,,,,
"998","3,5-dichloro-4-methylbenzoic acid","RH-24549",,,,,,,,
"999","4-methoxybiphenyl","D-1989",,,,,,,,
"1000","2-dodecyl-3-hydroxy-1,4-naphthoquinone",,"acequinocyl-OH","acequinocyl-R1","AKD-2023-OH","AKM-05","HDNQ",,,
"1001","3-(4,5-dihydro-isoxazol-3-yl)-4-methanesulfonyl-2-methyl-benzoic acid","M670H05",,,,,,,,
"1002","(3-cyano-4-methanesulfonyl-2-methyl phenyl)(5-hydroxy-1-methyl-1H-pyrazol-4-yl)methanone","M670H01",,,,,,,,
"1003","6-(5-hydroxy-1-methyl-1H-pyrazol-4-yl)carbonyl)-5-methyl-2,3-dihydro-4H-1-benzothiopyran-4-one","M670H10",,,,,,,,
"791","fenamiphos sulfone",,"FON",,,,,,,
"792","4-hydroxyquinazoline",,"fenazaquin-4OH","4-OH fenazaquin","4-OHQ",,,,,
"793","4-tert-butylphenylethyl alcohol",,"2,4-TBE","4-tert-butylphenylethyl alcohol","TBPE","A: EFSA Conclusion on the peer review of the pesticide risk assessment for the active substance fenazaquin, EFSA Journal 2013;11(4):3166",,,,
"794","cis-5-(4-chlorophenyl)-dihydro-3-phenyl-3-(1H-1,2,4-triazole-1-ylmethyl)-2-3H-furanone","RH-9129",,,,,,,,
"795","trans-5-(4-chlorophenyl)-dihydro-3-phenyl-3- (1H-1,2,4-triazole-1-ylmethyl)-2-3H-furanone","RH-9130",,,,,,,,
"796","4-(4-chlorophenyl)-2-(methyl-1H-1,2,4-triazole)-4-oxo-2-phenylbutanenitrile","RH-6467",,,,,,,,
"797","3-methyl-4-nitrophenol",,"NMC",,,,,,,
"798","2-(4-(6-chloro-2-benzoxazolyloxy)-phenoxy)-propionic acid","HOE 88406",,,,,,,,
"800","fenthion sulfone",,,,,,,,,
"801","fipronil amide","RPA 200766",,,,,,,,
"802","fipronil sulfone","MB 46136",,,,,,,,
"803","fipronil sulfide","MB 45950",,,,,,,,
"804","1-(4,6-dimethoxypyrimidin-2-yl)-1-(3-trifluoromethyl-2-pyridyl)urea",,"DTPU","SSRE-004",,,,,,
"805","3-trifluoromethyl-2-pyridylsulfonamide",,"TPSA","SSRE-001",,,,,,
"985","N-((N-carbamoylcarbamimidoyl)carbamoyl)-2-chlorobenzenesulfonamide","IN-JJ998",,,,,,,,
"806","4,6-dimethoxy-N-(3-(trifluoromethyl)pyridin-2-yl)pyrimidin-2-amine",,"DTPP","SSRE-005",,,,,,
"807","4-trifluoromethylnicotinic acid",,"TFNA",,,,,,,
"808","N-(4-trifluoromethyl-nicotinoyl)glycinamide",,"TFNG-AM",,,,,,,
"809","N-(2,6-difluorophenyl)-8-fluoro-5-hydroxy(1,2,4)triazolo(1,5-c)pyrimidine-2-sulfonamide",,"5-hydroxy florasulam",,,,,,,
"810","N-(2,6-difluorophenyl)-5-aminosulfonyl-1H-1,2,4-triazole-3-carboxylic acid",,"DFP-ASTCA",,,,,,,
"811","5-(aminosulfonyl)-1H-1,2,4-triazole-3-carboxylic acid",,"ASTCA",,,,,,,
"812","fluazifop",,,,,,,,,
"814","FOE sulphonic acid","AE 0841914","FOE sulfonic acid","FASO3H","WAK 6222","flufenacet M02",,,,
"815","FOE oxalate","AE 0841913","BCS-AB16305","flufenacet M01",,,,,,
"816","4-N-[3-chloro-5-trifluoromethyl-pyridin-2-yl-(hydroxyl)methyl]-2,6-dichlorobenzamide","AE-0608000","fluopicolide-M03",,,,,,,
"817","2,6-dichlorobenzamide","AE C653711","fluopicolide-M01","BAM",,,,,,
"818","3-chloro-5-trifluoromethyl-pyridine-2-carboxylic acid","AE-C657188","fluopicolide-M02",,,,,,,
"820","HEC-5725-des-chlorophenyl","HEC 7155","fluoxastrobin-M48",,,,,,,
"821","HEC-5725-carboxylic acid","HEC 7180","fluoxastrobin-M40",,,,,,,
"823","N-(4,6-dimethoxypyrimidine-2-yl)-N-(3-methoxycarbonyl-6-trifluoromethylpyridine-2-yl)-amine","IN-KY374",,,,,,,,
"824","1-(4,6-dimethoxypyrimidine-2-yl)-2,4-diketo-7-trifluoro-methyl-1,2,3,4-tetrahydropyridol(2,3-d)pyrimidine","IN-JV460",,,,,,,,
"825","4-amino-3,5-dichloro-6-fluoro-2-pyridinol",,"fluroxypyr pyridinol","fluroxypyr M02","fluroxypyr metabolite II",,,,,
"826","4-amino-3,5-dichloro-6-fluoro-2-pirydynil-2-methoxypyridine",,"fluroxypyr methoxypyridine","fluroxypyr M03","fluroxypyr metabolite III","DMP",,,,
"827","trifluoroethanoic acid",,"trifluoroacetic acid","perfluoroacetic acid","TFA","TFAA",,,,
"828","3-trifluoromethylbenzoic acid","RE-54488","TFMBA","m-trifluoromethyl benzoic acid","M320129","CL2862",,,,
"829","phthalimide",,,,,,,,,
"830","phthalic acid",,,,,,,,,
"831","phthalamic acid",,,,,,,,,
"832","3-chloroallyl alcohol",,,,,,,,,
"833","4-amino-2-(3-(4,6-dimethoxypyrimidin-2-yl)ureidosulfonyl)-N, N-dimethylbenzamide","AE-F130619",,,,,,,,
"834","4-amino-2-chloropyridine",,"ACP",,,,,,,
"835","3-formamidophenyl methylcarbamate",,"3-FAPMC",,,,,,,
"836","N-(3-hydroxyphenol)-N-N-dimethylformamidine",,"3-HPDMF",,,,,,,
"837","3-hydroxyformanilide",,"3-HF",,,,,,,
"838","3-aminophenyl N methylcarbamate",,"3-APMC",,,,,,,
"839","2-butanesulfonic acid",,"BSA",,,,,,,
"840","3-methyl-phosphinico-propionic acid","AE-F061517","MPP",,,,,,,
"841","2-methylphosphinico-acetic acid","AE-F064619","MPA",,,,,,,
"842","aminomethylphosphonic acid",,"AMPA","phosphaglycine",,,,,,
"843","4-(3-chloro-5-trifluoromethyl-2-pyridyloxyphenol)",,"DE-535 phenol",,,,,,,
"844","3-chloro-5-trifluoromethylpyridin-2-ol",,"DE-535 pyridinol",,,,,,,
"845","3-chloro-1-methyl-5-(trifluoromethyl)-2(1H)-pyridinone",,"DE-535 pyridinone",,,,,,,
"846","heptachlor epoxide","ENT 25584","epoxyheptachlor","heptachlor metabolite",,,,,,
"847","5-(4-chlorophenyl)-N-(4-oxocyclohexyl)-4-methyl-2-oxothiazolidine-3-carboxamide","PT-1-9",,,,,,,,
"896","5-amino-N-(2,6-dichloro-3-methylphenyl)-1H-1,2,4-triazole-3-sulfonamide",,"ATSA","metosulam-M01",,,,,,
"897","diketo-metribuzin","BCS-AG59919","DK-metribuzin","diketo-sencor","DIC1468-DK","DK MO2",,,,
"898","desaminodiketo-metribuzin",,"DADK-metribuzin","metribuzin, deaminated diketo metabolite",,,,,,
"899","methyl 2-(aminosulfonyl)benzoate","IN-D5803","Ester sulphonamide","methyl saccharin",,,,,,
"900","2-(aminosulfonyl) benzoic acid","IN-D5119","acid sulphonamide",,,,,,,
"901","phenylurea","IN-B5685","phenylcarbamide","monophenylurea ",,,,,,
"902","1,2-benzisothiazol-3(2H)-one,1,1-dioxide","IN-00581","CGA 27913","CGA 147087","saccharin",,,,,
"905","molinate sulfoxide",,"ordram sulfoxide",,,,,,,
"906","3-(ethylsulfonyl)-2-pyridinesulfonamide","IN-E9260",,,,,,,,
"907","5-hydroxy pyrimidine amine","IN-J290",,,,,,,,
"908",,"RP-017272",,,,,,,,
"909",,"RP-025496",,,,,,,,
"910","oxadixyl acid",,,,,,,,,
"911","2-ethylsulfinyl ethane sulfonic acid",,"oxydemeton-methyl-M09","ESES",,,,,,
"912","N-((4-chlorophenyl)-methyl)-N-cyclopentylamide",,"pencycuron-PB-amine","pencycuron M16","NTN19701-PB-amine",,,,,
"913","3-chloro-4-methylaniline",,,,,,,,,
"914","3,3-dichloro-4,4-dimethylazobenzene",,,,,,,,,
"915","methyl-3-hydroxylphenylcarbamate",,"MHPC",,,,,,,
"916","3-aminophenol",,"m-aminophenol",,,,,,,
"917","6-(3-trifluoromethylphenoxy)-2-pyridine carboxylic acid","CL-153815","CL153815","picolinic acid",,,,,,
"918","8-(2,6-diethyl-4-methylphenyl)-tetrahydropyrazolo-1,2-d","NOA 407854","pinoxaden-M02",,,,,,,
"919","8-(2,6-diethyl-4-methyl-phehyl)-8-hydroxy-tetrahydropyrazolo(1,2-d)(1,4,5)oxadiazepine-7,9-dione ","NOA 447204","pinoxaden-M03",,,,,,,
"920","2-dimethylamino-5,6-dimethylpyrimidin-4-ol","R31805","pirimicarb phenol","R0-31805",,,,,,
"921","5,6-dimethyl-2-(methylamino)pyrimidin-4-ol","R34865","N-demethyl phenol    ",,,,,,,
"922","5,6-dimethyl-2-(methylformamido)pyrimidin-4-yl dimethylcarbamate","R34885","N-methyl-N-formyl pirimicarb",,,,,,,
"923","3,4-dichloroaniline",,"3,4-DCA","dichloroaniline","3,4-dichlorobenzeneamine","dichloraniline","DCA",,,
"925","hydroxypropazine",,"propazine-2-hydroxy ",,,,,,,
"926","N-phenylcarbamic acid",,"carbanilic acid",,,,,,,
