ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"702","3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylic acid",,"42000","A5",,,,,,,,,,,,,,,,,"3.15","A5",,,,,"Not readily biodegradable ","3.9","A5","3.9","A5","16.9","A5",,,,,"13.5","A5 worse case","EU 2018 beta cyfluthrin dossier lab studies DT50 (normalised) range 1.5-7.1 days, DT90 range 5.5-32 days, Soils=7",,,,,"1.18","130","0.78","A5","EU 2017 cypermethrin dossier Kf range 0.514-2.223 mL/g, Kfoc range 37-318 mL/g, 1/n range 0.692-0.889, Soils=5","No","28","A5",,"160","A5","Stable at pH 4, 7 and 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.11478133129848","2.92639057565211E-03"
"703","diazinecarboxylic acid, 2-(4-methoxy-(1,1-biphenyl)-3-yl),1-methylethyl ester","D-3598","3.98","A4 @ 25 DegC",,,,,,,,,,,,,,,,,,,"6.96E-04","A5 @ 25 DegC","2.48","V3",,"1.2","A5","1.2","A5","6.9","A5","3","F3",,,,,"EU dossier (2016 RAR) lab studies DT50 range 0.21-18.2 days, DT90 range 0.68-28.4 days, Soils=8",,"8710",,"A4","196","10027","1.22","A5","EU dossier (2016 RAR) Kf range 170-290 mL/g, Kfoc range 4795-22303 mL/g, 1/n range 1.07-1.30 Soils=3","None","1.5","A5",,"1.2","A3",,"3.4","A5","1","A4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5.58716118136418E-04","5.35307472937412E-03"
"704","bifenox acid",,"1000","A4",,,,,,,,,,,,,,,,,"4.55","Q2",,,,,,"56","A4","56.3","A5","298","A5",,,,,,,"EU dossier lab study range DT50 24-156 days, DT90 range 79.7-517 days",,,,,"1.85","143","0.84","A5","EU dossier kf range 0.68-3.62 mL/g, Kfoc range 130-155 mL/g, 1/n range 0.79-0.89, Soils=3","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.58","Q2",,,,,,"3.22909975209716","0.415128983885797"
"705","allethrolone",,,,,,,,,,,,,,,,,,,,"0.42","Q2",,,,,,,,,,,,,,,,,,,,"40","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.08","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"706","dihydroxyallethrolene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"707","4-[2-hydroxy-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butoxy]-benzoic acid","BUE 2684",,,,,,,,,,,,,,,,,,,,,,,"0.16","V3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"708","1,2,4-triazole","CGA 71019","730000","A5",,,,,,,,,"121","Q2",,,,,,,"-1.0","A4","0.00022","A5","0.155","V3","Not readily biodegradable","10","A5","8.2","A5","31","A5",,,,,,,"EU dossiers of the various parents give Lab values DT50 range 5.0-9.9 days, DT90 range 21-41 days; Focus studies DT50 7.0-13.3 days",,,,,"0.719","112","0.91","A4","EU dossier kf range 0.234-0.833, kfoc range 43-202 mL/g, 1/n range 0.827-1.016, Soils=5","No","Stable","A3",,"Stable","A5","Stable pH 5 to pH 9, 25 degC","300","A4","300","A4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.2","Q3","Strong acid",,,,,,,,"1.78265159386449","2.01708470641303E-02"
"709","4,4-dibromobenzilic acid",,,,,,,,,,,,,,,,,,,,,,,,"2.00E-04","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"710","4-tert-butyl-2-6,dinitroaniline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"711","diisobutylamine",,"2200","Q2",,,,,,,,,,,,,,,,,"2.84","Q2","970000","Q2","1.31E-05","V3",,,,,,,,,,,,,,,,"1","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.9","Q2","Very weak acid","1.03","Q2","Colourless liquid",,,,,"Cannot be calculated","Cannot be calculated"
"712","tetrahydrophthalimide",,,,,,,,,,,,,,,,,,,,"0.22","Q2",,,,,,"10","A5","10","A5","33.6","A5","12.3","A5",,,,,"EU dossier lab studies DT50 range 5.9-14.4 days, DT90 range 19.50-47.74 days, field studies DT50 range 0.33-7.0 days","0.15","9.2","A4","EU dossier Kd range 0.04-0.23 mL/g, Koc range 7.6-13.0 mL/g, Soils=6","0.13","7.1","0.822","A5","EU dossier Kf range 2.2-11 mL/g, Kfoc range 2.2-11.0 mL/g, 1/nrange0.37-1.00, Soils=6",,,,,"150","A5",,"18","A4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.23","Q2",,,,,,"3.43182962033321","0.176090482403415"
"713","tetrahydrophthalamic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,"9","A5","9","A5","28.4","A5",,,,,,,"EU dossier lab studies DT50 range 6-11 days, DT90 range 19.93-36.77 days","0.55","46.1","A4","EU dossier Kd range 0.11-1.1 mL/g, Koc range 3.8-110 mL/g, Soils=6","0.52","43.8","1.09","A5","EU dossier Kf range0.14-1.2 mL/g, Kfoc range 4.5-100 mL/g, 1/n range 0.99-1.26, Soils=6","More readily absorbed at lower pH",,,,"360","A5",,"18","A4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.25060566337018","3.61738822354762E-02"
"714","1-naphthol",,"866","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"2.85","V3",,,,,,"0.53","A5","0.53","A5","2.99","A5",,,,,,,"EU dossier data for Sandy loam","410","16400","A4","EU dossier Kd range 456-1264 mL/g, Koc range 761-45136, Soils=5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.34","V3","Weak acid",,,,,,,,"5.92376331745715E-02","5.35307472937412E-03"
"715","2-aminobenzimidazole",,"14900","V3 @ 25 DegC",,,,,,,,,"230","V3",,,,,,,"0.91","V3 @ 25 DegC","0.38","V3 @ 25 DegC",,,,,,,,,,,,,,,,,,"22","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.37","Q2","Beige coloured powder",,,,,"Cannot be calculated","Cannot be calculated"
"716","3-hydroxycarbofuran",,"6207","A5",,,,,,,,,,,,,,,,,"1.45","Q2","0.0671","A5","5.10E-04","H4",,"0.35","A5","0.35","A5","1.2","A5",,,,,,,"EU dossier lab studies DT50 range 0.22-0.3 days, DT90 range 0.88-1.7 days","15.1","682","A5","EU dossier Kd range 0.8-43.2 mL/g, koc range 75-1890 mL/g",,,,,,"No",,,,,,,,,,,"16.8","R4","Published literature RL50 range 9.0-27.5 days, leaves of 3 orchard crops crops, n=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.24","Q2",,,,,,"-0.531714970772138","3.74815247684063E-05"
"717","3-ketocarbofuran",,"4464","A5",,,,,,,,,,,,,,,,,,,"2.02","A5",,,,"3.0","A5","3.01","A5","15.6","A5",,,,,,,"EU dossier lab studies DT50 range 0.9-6.7 days, DT90 range 5.13-27.0 days","1.1","47.5","A4","EU dossier for loamy sand Kd = 1.1 mL/g, Koc 47.5 mL/g, Soils=1","7.12","330.5","0.816","A5","EU dossier kf range 4.59-9.65 mL/g, Kfoc range 440-504 mL/g, 1/n range 0.489-1.144, Soils=2","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.70867492313423","1.76966100299777E-03"
"718","carboxin sulfoxide",,"587.7","A5",,,,,,,,,,,,,,,,,,,,,"0.045","V3",,"40","A5","39.5","A5",,,"59.5","A5","95.1","A5",,,"EU dossier lab studies DT50 range 8.5-53.1 days, DT90 range 28.2-176.4 days; Other literature lab study DT50 range 24.5-117 days, European soils.",,,,,"1.28","96","0.82","A5","EU dossier Kf range 0.44-1.9 mL/g, Kfoc range 70-126 mL/g, 1/n range 0.57-1.1, Soils=3","No",,,,"Stable","A5","Stable at pH 5 to pH 7, DT50 4.92 days at pH 10, 22 degC","30","A5","15.6","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.58049392920983","0.665700037523011"
"719","(RS)-2-chloro-3-(2-chloro-5-(4-(difluoromethyl)-4,5-dihydro-3-methyl-5-oxo-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)propionic acid",,"573","A5",,,,,,,,,,,,,,,,,"0.9","A4","1.07E-04","A4 @ 25 degC","1.74E-03","V3",,"17.3","A5","62.5","A5",,,"8","A5",,,,,"EU 2016 dossier lab studies DT50 range 3.5-59.3 days, DT90 range 13.9-70.7 days, Soil=8",,,,,"0.35","23.4","0.888","A5","EU dossier Kf range 0.11-0.59 mL/g, Kfoc range 7.4-46.4 mL/g, 1/n range 0.86-0.91, Soils=5","No","8","A5",,"Stable","A5",,"79","A5","67","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.37583481711009","2.82259380946648E-02"
"720","3-(2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)propanoic acid",,"1000000","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"0.33","V3",,,,,,"3.5","A5","3.5","A5","11.8","A5",,,,,,,"EU 2016 dossier lab studies DT50 range 3.1-3.8 days, Dt90 range 10.2-12.7 days, Soils=3 ",,"98","A5","Other data: Koc range 47-349 mL/g","2.0","98.2","1.208","A5","EU 2004 & 2016 dossier Kf range 0.19-1.89 mL/g, Kfoc range 27-260 mL/g, 1/n range 1.13-1.34, Soils=5","Adsorption increases at pH < 5.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.88","V3","Weak acid",,,,,,,,"1.09242797611314","2.64190508119991E-03"
"721","(2E)-3-(2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)acrylic acid",,"570","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"2.13","V3",,,"8.71E-03","V3",,"67.3","A5","67.3","236.8",,,"17","A5",,,,,"EU 2016 dossier lab studies DT50 range 2.6-194.6 days, DT90 range 8.7-646.4 days, Soils=8",,,,,"2.85","142","1.166","A5","EU 2004 & 2016 dossier Kf range 0.35-7.77 mL/g, Kfoc range 44-333 mL/g, 1/n range 1.06-1.41, Soils=5","Adsorption increases at pH < 5.7",,,,,,,,,"60","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.44","V3","Weak acid",,,,,,,,"2.27351481367193","8.23963703229922E-02"
"722","2,5-dichloroaniline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"723","oxychlordane",,"0.023","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"5.48","V3",,,"3.85E-02","L3",,,,,,,,,,,,,,,,"4775","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.48","V3","Weak acid","1.97","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"724","trichloracetaldehyde",,,,,,,,,,,,"-57.5","V3",,,,,,,"1.38","Q2",,,,,,,,,,,,,,,,,,,,"179","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.51","V3","Oily liquid",,,,,"Cannot be calculated","Cannot be calculated"
"725","dichloracetic acid","DCA",,,,,,,,,,,"13.5","V3",,,,,,,"0.99","Q2",,,,,,,,,,,,,,,,,,,"1","1","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.25","V3","Strong acid","1.57","V3","Colourless liquid",,,,,"Cannot be calculated","Cannot be calculated"
"726","trichloroacetic acid","TCA","44000","L3",,,,,,,,,"57","V3",,,,,,,"1.33","V3",,,,,,,,,,,,,,,,,,,,"1","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.77","V3","Strong acid","1.63","V3","White solid",,,,,"Cannot be calculated","Cannot be calculated"
"728","2-pyrroline-3-carbonitrile,4-bromo-2-(4-chlorophenyl)-5-(trifluoromethyl)-chlorfenapyr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"729","4-hydroxy-2,5,6-trichloroisophtalonitrile","R182281","13.5","A5",,,,,,,,,,,,,,,,,"0.61","A5",,,,,,"64.5","A5","64.5","A5","236.4",,,,,,"609","A5 Worst case, 153 days used for Surface water and sediment modelling","EU dossier2018: lab studies DT50 range 38-89.9 days, DT90 range 126-299 days, Soils=7","6.72","498","A5","EU dossier RAR 2016: Kd range 0.5-15.7 mL/g, Koc range 95-1100 mL/g, Soils=9","4.21","383","0.88","A5","EU 2018 dossier: Kf range 1.07-10.6 mL/g, Kfoc range 250-560 mL/g, 1/n range 0.78-1.00, Soils=9","None",,,,,,,"265","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.56378642227224","0.172575326189163"
"730","3-(3-chloro-p-tolyl)-1-methylurea",,,,,,,,,,,,,,,,,,,,,,,,"1.09E-03","V3",,"60","A5","59","A5","196","A5",,,,,,,"EU dossier lab studies DT50 range 52-66 days, DT90 range 173-218 days",,"248","P3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.84318847079756","0.249442656420524"
"731","3,5,6-trichloro-2-pyridinol",,"80.9","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"3.21","V3 @ 25 DegC","137.32","V3 @ 25 DegC","1.10","L3",,"226","A5","226","A5","288","A5","75.3","A5","250","A4","166.1","A5 worst case field study","EU 2017 dossier lab studies DT50 range 7.2 - >1000 days, DT90 range 28.4 - >1000 days; Field studies range 15.59-166.1 days, DT90 range 51.8-552 days, Soils=3",,"149","A5","EU dossier Koc range 77-242 mL/g","2.01","84.5","0.81","A5","EU 2017 dossier Kf range 0.6-6.4 mL/g, Kfoc range 14-194 mL/g, 1/n range 0.75-0.89, Soils=8","None",,,,,,,"19.8","A5","23","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.67","Q2",,,,,,"3.8908649135874","1.03995795239418"
