ID,Active,Reference,Taxonomic classification,Substance source,Substance production,Target Pests,Uses,Target Host,Product 1,Manufacturer 1,Product 2,Manufacturer 2,Product 3,Manufacturer 3,Known to used in the following countries,Farming system suitability
"699","2,2-dimethyl-1,3-benzodioxol-4-ol","NC-7312",,,,,,,,,,,,,,
"700","2-amino-N-isopropylbenzamide",,,,,,,,,,,,,,,
"701","4-fluoro-3-phenoxybenzoic acid",,,,,,,,,,,,,,,
"702","3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylic acid",,,,,,,,,,,,,,,
"703","diazinecarboxylic acid, 2-(4-methoxy-(1,1-biphenyl)-3-yl),1-methylethyl ester","D-3598",,,,,,,,,,,,,,
"704","bifenox acid",,,,,,,,,,,,,,,
"705","allethrolone",,,,,,,,,,,,,,,
"706","dihydroxyallethrolene",,,,,,,,,,,,,,,
"707","4-[2-hydroxy-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butoxy]-benzoic acid","BUE 2684",,,,,,,,,,,,,,
"708","1,2,4-triazole","CGA 71019",,,,,,,,,,,,,,
"709","4,4-dibromobenzilic acid",,,,,,,,,,,,,,,
"710","4-tert-butyl-2-6,dinitroaniline",,,,,,,,,,,,,,,
"711","diisobutylamine",,,,,,,,,,,,,,,
"712","tetrahydrophthalimide",,,,,,,,,,,,,,,
"713","tetrahydrophthalamic acid",,,,,,,,,,,,,,,
"714","1-naphthol",,,,,,,,,,,,,,,
"715","2-aminobenzimidazole",,,,,,,,,,,,,,,
"716","3-hydroxycarbofuran",,,,,,,,,,,,,,,
"717","3-ketocarbofuran",,,,,,,,,,,,,,,
"718","carboxin sulfoxide",,,,,,,,,,,,,,,
"719","(RS)-2-chloro-3-(2-chloro-5-(4-(difluoromethyl)-4,5-dihydro-3-methyl-5-oxo-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)propionic acid",,,,,,,,,,,,,,,
"720","3-(2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)propanoic acid",,,,,,,,,,,,,,,
"721","(2E)-3-(2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorophenyl)acrylic acid",,,,,,,,,,,,,,,
"722","2,5-dichloroaniline",,,,,,,,,,,,,,,
"723","oxychlordane",,,,,,,,,,,,,,,
"724","trichloracetaldehyde",,,,,,,,,,,,,,,
"725","dichloracetic acid","DCA",,,,,,,,,,,,,,
"726","trichloroacetic acid","TCA",,,,,,,,,,,,,,
"728","2-pyrroline-3-carbonitrile,4-bromo-2-(4-chlorophenyl)-5-(trifluoromethyl)-chlorfenapyr",,,,,,,,,,,,,,,
"729","4-hydroxy-2,5,6-trichloroisophtalonitrile","R182281",,,,,,,,,,,,,,
"730","3-(3-chloro-p-tolyl)-1-methylurea",,,,,,,,,,,,,,,
"731","3,5,6-trichloro-2-pyridinol",,,,,,,,,,,,,,,
"732","(Z)-2-chloro-3-(2-chloro-5-(1,3,dioxo-4,5,6,7-tertahydroisoindol-2-yl)phenyl)acrylic acid",,,,,,,,,,,,,,,
"733","(Z)-2-chloro-3-(2-chloro-5-(((2-hydroxycarbonyl)cyclohexen-1-yl)carbonylamino)phenyl)acrylic acid",,,,,,,,,,,,,,,
"734","2-(N-(3-((1Z)-2-carboxy-2-chlorovinyl)-4-chlorophenyl)carbamoy)--hydroxycyclohex-1-enecarboxylic acid",,,,,,,,,,,,,,,
"735","clethodim sulfoxide",,,,,,,,,,,,,,,
"736","clethodim sulfone",,,,,,,,,,,,,,,
"737","2-hydroxy-3-fluoro-5-chloro-pyridine","CGA 302371",,,,,,,,,,,,,,
"738","4-chloro-5-p-tolylimidazole-2-carbonitrile",,,,,,,,,,,,,,,
"739","4-chloro-5-p-tolylimidazole-2-carboxamide",,,,,,,,,,,,,,,
"740","4-chloro-5-p-tolylimidazole-2-carboxylic acid",,,,,,,,,,,,,,,
"741","2,4-dichloroaniline",,,,,,,,,,,,,,,
"742","cycloxydim sulfoxide","BH 517-TSO",,,,,,,,,,,,,,
"743","cycloxydim sulfone","BH 517-TSO2",,,,,,,,,,,,,,
"744","N-cyclopropylmethoxy-2,3-difluoro-6-trifluoromethylbenzamidine","149-F",,,,,,,,,,,,,,
"745","((Z)-N-(alpha-cylcopropylmethoxyimino-2,3-difluoro-6-trifluoromethylbenzyl)carbamoylacetic acid","149-F11",,,,,,,,,,,,,,
"748","cyhalofop amide",,,,,,,,,,,,,,,
"749","cyhalofop diacid","XDE-537 ",,,,,,,,,,,,,,
"750","4-cyclopropyl-6-methyl-pyrimidine-2-ylamine","CGA 249287",,,,,,,,,,,,,,
"751","3-(4-cyclopropyl-6-methylpyrimidin-2-ylamino)phenol","CGA 275535",,,,,,,,,,,,,,
"752","melamine","CGA 235129",,,,,,,,,,,,,,
"754","DDE","HSDB 1625",,,,,,,,,,,,,,
"756","decamethrinic acid","AE F108565",,,,,,,,,,,,,,
"757","ethyl 3-hydroxycarbamate",,,,,,,,,,,,,,,
"758","pyrimidinol","GS-27550",,,,,,,,,,,,,,
"759","3,6-dichlorosalicylic acid","NOA 414746",,,,,,,,,,,,,,
"760","2,6-dichlorobenzoic acid",,,,,,,,,,,,,,,
"761","dimethylaminosulfanilide",,,,,,,,,,,,,,,
"762","2,4-dichlorophenol",,,,,,,,,,,,,,,
"763","2,4-dichloroanisole",,,,,,,,,,,,,,,
"765","2,6-dichloro-1,4-phenylenediamine","CI 37020 ",,,,,,,,,,,,,,
"766","butanamide",,,,,,,,,,,,,,,
"767","4-chlorophenylurea",,,,,,,,,,,,,,,
"768","2,6-difluorobenzoic acid",,,,,,,,,,,,,,,
"769","2-(3-trifluoromethylphenoxy)nicotinamide","AE-0542291",,,,,,,,,,,,,,
"770","2-(3-trifluoromethylphenoxy)nicotinic acid","AE-B107137",,,,,,,,,,,,,,
"771","2-((2,4-dimethyl-3-thienyl)-((1S)-2-methoxy-1-methyl-ethyl)amino)-2-oxo-acetic acid",,,,,,,,,,,,,,,
"772","2-((2,4-dimethyl-3-thienyl)-((1S)-2-methoxy-1-methyl-ethyl)amino)-2-oxo-ethanesulfonic",,,,,,,,,,,,,,,
"773","(E-O-(2-hydroxycarbonyl-5-methyl)phenoxymethyl)-2-methoxyimino-N-methylphenyl acetamide",,,,,,,,,,,,,,,
"774","(E-O-(5-hydroxycarbonyl-2-methyl)phenoxymethyl)-2-methoxyimino-N-methylphenyl acetamide",,,,,,,,,,,,,,,
"775","1-(3,4-dichlorophenyl)-3-methylurea",,,,,,,,,,,,,,,
"776","3,4-dichlorophenyl urea",,,,,,,,,,,,,,,
"777","endosulfan sulfate",,,,,,,,,,,,,,,
"778","(1RS)-2-amino-2-oxo-1-(3-phenoxyphenyl)ethyl","SD-47117",,,,,,,,,,,,,,
"779","ethiofencarb sulfoxide",,,,,,,,,,,,,,,
"780","ethiofencarb sulfone",,,,,,,,,,,,,,,
"781","1-(2-ethoxyphenoxysulfonyl)-3-(6-hydroxy-4-methoxypyrimidin-2-yl)-urea","AE-F126663",,,,,,,,,,,,,,
"782","1-(2-ethoxyphenoxysulfonyl)-3-guanylurea or 3-amidino-1(2-ethoxyphenoxysulfonyl)-urea)","AE-F136086",,,,,,,,,,,,,,
"783","2-amino-4,6-dimethoxypyrimidine","AE-F092944",,,,,,,,,,,,,,
"784","6-ethoxy-2-ethyl-4-hydroxypyrimidine",,,,,,,,,,,,,,,
"785","alpha-hydroxy-alpha-methyl-4-phenoxybenzene acetic acid","IN-JS940",,,,,,,,,,,,,,
"786","5-[4-(4-hydroxyphenoxy)phenyl-5-methyl-3-(phenylamino)-2,4-oxazolidine dione","IN-KZ007",,,,,,,,,,,,,,
"787","(S)-5-methyl-5-phenylimidazolidine-2,4-dione","RPA 412636",,,,,,,,,,,,,,
"788","(S)-5-methyl-2-methylthio-3-(2-nitrophenylamino)-5-phenyl-3,5-dihydroimidazol-4-one","RPA 413255",,,,,,,,,,,,,,
"789","(S)-5-methyl-2-methylthio-5-phenyl-3,5-dihydroimidazol-4-one","RPA 412708",,,,,,,,,,,,,,
"790","fenamiphos sulfoxide",,,,,,,,,,,,,,,
"848","trans-5-(4-chlorophenyl)-4-methyl-2-oxothiazolidine-3-carboximide","PT-1-2",,,,,,,,,,,,,,
"849","trans-5-(4-chlorophenyl)-4-methyl-2-oxothiazolidine","PT-1-3",,,,,,,,,,,,,,
"850","5-methyl-2-(3H)-oxazolone",,,,,,,,,,,,,,,
"851","1-(2,4-dichlorophenyl)2-imidazol-1-ylethanol","R014821",,,,,,,,,,,,,,
"852","2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-3,5,pyridinecarboxylic acid","CL-312622",,,,,,,,,,,,,,
"853","5-hydroxy-6-((4RS)-4-isopropyl-4-methyl-5-oxo-4,5-dihydro-1H-imidazol-2-yl)nicotinic acid","CL-354825",,,,,,,,,,,,,,
"854","6-chloronicotinic acid",,,,,,,,,,,,,,,
"855","methyl-7-chloro-2,5-dihydro-2-(((trifluoromethoxy)phenyl)amino)carbonyl(indeno(1,3,4)oxadiazine-4a(3H)-carboxylate","IN-JT333",,,,,,,,,,,,,,
"856","(E)-methyl 5-chloro-2,3-dihydro-2-hydroxy-1-((((methoxycarbonyl)(4-trifluoromethoxy)phenyl)amino)carbonyl)hydrazono)-1H-indene-2-carboxylate","IN-KG433",,,,,,,,,,,,,,
"857","(4-trifluoromethoxy)phenyl urea","IN-MK638",,,,,,,,,,,,,,
"859","methyl 2-(3- (4-hydroxy-6-methyl-1,3,5-triazin-2-yl)ureidosulfonyl) benzoate","AE-F161778",,,,,,,,,,,,,,
"860","3,5-di-iodo-4-hydroxybenzamide",,,,,,,,,,,,,,,
"861","3,5-di-iodo-4-hydroxybenzoic acid",,,,,,,,,,,,,,,
"862","N-(3,5-dichlorophenyl)3-isopropyl-2,4-dioxoimidazoline-1-carboxamide","RP-30228",,,,,,,,,,,,,,
"863","1-(3,5-dichlorophenyl)-5-isopropyl biuret","RP-36221",,,,,,,,,,,,,,
"864","p-methyl-phenethylamine",,,,,,,,,,,,,,,
"865","desmethylisoproturon",,,,,,,,,,,,,,,
"866","N-(3-(1-hydroxy-1-methyl-propyl)-5-isoxazolyl)-2,6,dimethoxybenzamide",,,,,,,,,,,,,,,
"867","(2RS)-3-cyclopropyl-2-(2-(methylsulfonyl)-4-(trifluoromethyl)benzoyl)-3-oxopropanenitrile","RPA 202248",,,,,,,,,,,,,,
"868","2-mesyl-4-trifloromethylbenzoic acid","RPA 203328",,,,,,,,,,,,,,
"869","(E)-methoxyamino(alpha-(o-tolyloxy)-o-tolyl)acetic acid","BF 490-1",,,,,,,,,,,,,,
"870","(RS)-alpha-cyano-3-(4-hydroxyphenoxy)benzyl-(Z)-(1RS)-cis-3-(2-chloro-3, 3, 3-trifluoropropenyl)-2, 2-dimethylcyclopropanecarboxylate",,,,,,,,,,,,,,,
"871","malathion monocarboxylic acid","MMCA",,,,,,,,,,,,,,
"872","malathion dicarboxylic acid",,,,,,,,,,,,,,,
"873","ethylenethiourea",,,,,,,,,,,,,,,
"874","ethyleneurea",,,,,,,,,,,,,,,
"876","2-methyl-4-chlorophenol",,,,,,,,,,,,,,,
"879","benzothiazole",,,,,,,,,,,,,,,
"880","benzothiazolyloxyacetic acid",,,,,,,,,,,,,,,
"881","5-amino-2,4-dimethyltrifluoromethanesulfonanilide",,,,,,,,,,,,,,,
"882","4,6-dimethoxypyrimidine-2-yl-urea","AE-F099095",,,,,,,,,,,,,,
"884","4-methylsulfonyl-2-nitrobenzoic acid",,,,,,,,,,,,,,,
"885","2-amino-4-methylsulfonylbenzoic acid",,,,,,,,,,,,,,,
"886","N-(2,6-dimethylphenyl)-N-(methoxyacetyl)alanine","CGA 62826 (racemate)",,,,,,,,,,,,,,
"888","desamino-metamitron",,,,,,,,,,,,,,,
"889","metazachlor oxalic acid","BH479-4",,,,,,,,,,,,,,
"890","metazachlor sulfonic acid","BH479-8",,,,,,,,,,,,,,
"891","methiocarb sulfoxide",,,,,,,,,,,,,,,
"892","methiocarb sulfoxide phenol",,,,,,,,,,,,,,,
"893","methiocarb sulfone phenol",,,,,,,,,,,,,,,
"894","methiocarb methoxy sulfone",,,,,,,,,,,,,,,
"954","N-(4,6-dimethoxy-2-pyrimidinyl)-N-(3-(ethylsulfonyl)-2-pyridinyl)urea","IN-70941",,,,,,,,,,,,,,
"955","N-(3-(ethylsulfonyl)-2-pyridinyl)-4,6-dimethyoxy-2-pyrimidinamine","IN-70942",,,,,,,,,,,,,,
"956","sethoxydim-sulfoxide",,,,,,,,,,,,,,,
"957","6-(2-ethylsulfinylpropyl)-4-oxy-2-propyl-4,5,6,7-tetrahydro-1,3,benzoxazole",,,,,,,,,,,,,,,
"958","methylcyclohexylurea",,,,,,,,,,,,,,,
"959","methylcyclohexylamine",,,,,,,,,,,,,,,
"960","N-allyl-4,5-dimethylthiophene-3-carboxamide","CP-240659",,,,,,,,,,,,,,
"961","6-deisopropyl atrazine","G-28279",,,,,,,,,,,,,,
"962","2-hydroxy-4,6-bis(ethlyamino)-S-triazine",,,,,,,,,,,,,,,
"964","3-hydroxymethyl sulfentrazone (N-(2,4-dichloro-5-(4-(difluoromethyl)-yl)pheny)methanesulfonamide",,,,,,,,,,,,,,,
"966","desmethyl sulfosulfuron","MON 52756",,,,,,,,,,,,,,
"967","sulfosulfuron aminopyrimidine","CP 017477",,,,,,,,,,,,,,
"968","sulprofos sulfoxide",,,,,,,,,,,,,,,
"969","sulprofos sulfone",,,,,,,,,,,,,,,
"970","3,5-dichloro-2,4-difluorophenylurea",,,,,,,,,,,,,,,
"971","thiophene sulfonamide","IN-W8268",,,,,,,,,,,,,,
"973","O-desmethylthifensulfuron methyl","IN-L9226",,,,,,,,,,,,,,
"974","thiofanox sulfoxide",,,,,,,,,,,,,,,
"975","thiofanox sulfone",,,,,,,,,,,,,,,
"976","thiometon sulfoxide",,,,,,,,,,,,,,,
"977","thiometon sulfone",,,,,,,,,,,,,,,
"978","N,N dimethyl carbamosulfonic acid",,,,,,,,,,,,,,,
"979","dithiocarbamate",,,,,,,,,,,,,,,
"980","dimethylamine",,,,,,,,,,,,,,,
"981","O-(2,6-dichloro-4-methylphenyl) O-methyl O-hydrogen phosphorothioate",,,,,,,,,,,,,,,
"982","N,N-dimethyl-N'-p-tolysulphamide",,,,,,,,,,,,,,,
"983","O-demethyl triasulfuron","CGA 195660",,,,,,,,,,,,,,
"984","N-methyl triazine amine","IN-L5296",,,,,,,,,,,,,,
"986","dichloroethanol",,,,,,,,,,,,,,,
"989","(E,E)-trifloxystrobin acid","CGA 321113",,,,,,,,,,,,,,
"990","4-chloro-2-(trifluoromethyl)aniline","FA-1-1",,,,,,,,,,,,,,
"991","trinexapac","CGA 179500",,,,,,,,,,,,,,
"992","(1R,3R,E)-3-(4-chlorobenzylidene)-5,5-dimethyl-1-((1H)-1,2,4-triazol-1-ylmethyl)-cyclopentan-1,3-diol","RPA 406341",,,,,,,,,,,,,,
"993","(E)-2-(4-chlorobenzylidene)-5,5-dimethyl-1-((1H)-1,2,4-triazol-1-ylmethyl)-cyclopentan-1,3-diol","RPA 404766",,,,,,,,,,,,,,
"994","2-chloro-5((E)-((2RS)-2-hydroxy-3,3-dimethyl-2-(1H-1,2,4-triazole-1-ylmethyl)cyclopentylidenc)methyl)phenol","RPA 407922",,,,,,,,,,,,,,
"995","mercaptan",,,,,,,,,,,,,,,
"996","3,5-dichloro-N-(2-carboxy-1-ethyl-1-methyl-2-oxoethyl)-4-methylbenzamide","RH-163353",,,,,,,,,,,,,,
"997","3,5-dichloro-N-(1-ethyl-1-methyl-2-oxopropyl)-4-methylbenzamide","RH-127450",,,,,,,,,,,,,,
"998","3,5-dichloro-4-methylbenzoic acid","RH-24549",,,,,,,,,,,,,,
"999","4-methoxybiphenyl","D-1989",,,,,,,,,,,,,,
"1000","2-dodecyl-3-hydroxy-1,4-naphthoquinone",,,,,,,,,,,,,,,
"1001","3-(4,5-dihydro-isoxazol-3-yl)-4-methanesulfonyl-2-methyl-benzoic acid","M670H05",,,,,,,,,,,,,,
"1002","(3-cyano-4-methanesulfonyl-2-methyl phenyl)(5-hydroxy-1-methyl-1H-pyrazol-4-yl)methanone","M670H01",,,,,,,,,,,,,,
"1003","6-(5-hydroxy-1-methyl-1H-pyrazol-4-yl)carbonyl)-5-methyl-2,3-dihydro-4H-1-benzothiopyran-4-one","M670H10",,,,,,,,,,,,,,
"791","fenamiphos sulfone",,,,,,,,,,,,,,,
"792","4-hydroxyquinazoline",,,,,,,,,,,,,,,
"793","4-tert-butylphenylethyl alcohol",,,,,,,,,,,,,,,
"794","cis-5-(4-chlorophenyl)-dihydro-3-phenyl-3-(1H-1,2,4-triazole-1-ylmethyl)-2-3H-furanone","RH-9129",,,,,,,,,,,,,,
"795","trans-5-(4-chlorophenyl)-dihydro-3-phenyl-3- (1H-1,2,4-triazole-1-ylmethyl)-2-3H-furanone","RH-9130",,,,,,,,,,,,,,
"796","4-(4-chlorophenyl)-2-(methyl-1H-1,2,4-triazole)-4-oxo-2-phenylbutanenitrile","RH-6467",,,,,,,,,,,,,,
"797","3-methyl-4-nitrophenol",,,,,,,,,,,,,,,
"798","2-(4-(6-chloro-2-benzoxazolyloxy)-phenoxy)-propionic acid","HOE 88406",,,,,,,,,,,,,,
"800","fenthion sulfone",,,,,,,,,,,,,,,
"801","fipronil amide","RPA 200766",,,,,,,,,,,,,,
"802","fipronil sulfone","MB 46136",,,,,,,,,,,,,,
"803","fipronil sulfide","MB 45950",,,,,,,,,,,,,,
"804","1-(4,6-dimethoxypyrimidin-2-yl)-1-(3-trifluoromethyl-2-pyridyl)urea",,,,,,,,,,,,,,,
"805","3-trifluoromethyl-2-pyridylsulfonamide",,,,,,,,,,,,,,,
"985","N-((N-carbamoylcarbamimidoyl)carbamoyl)-2-chlorobenzenesulfonamide","IN-JJ998",,,,,,,,,,,,,,
"806","4,6-dimethoxy-N-(3-(trifluoromethyl)pyridin-2-yl)pyrimidin-2-amine",,,,,,,,,,,,,,,
"807","4-trifluoromethylnicotinic acid",,,,,,,,,,,,,,,
"808","N-(4-trifluoromethyl-nicotinoyl)glycinamide",,,,,,,,,,,,,,,
"809","N-(2,6-difluorophenyl)-8-fluoro-5-hydroxy(1,2,4)triazolo(1,5-c)pyrimidine-2-sulfonamide",,,,,,,,,,,,,,,
"810","N-(2,6-difluorophenyl)-5-aminosulfonyl-1H-1,2,4-triazole-3-carboxylic acid",,,,,,,,,,,,,,,
"811","5-(aminosulfonyl)-1H-1,2,4-triazole-3-carboxylic acid",,,,,,,,,,,,,,,
"812","fluazifop",,,,,,,,,,,,,,,
"814","FOE sulphonic acid","AE 0841914",,,,,,,,,,,,,,
"815","FOE oxalate","AE 0841913",,,,,,,,,,,,,,
"816","4-N-[3-chloro-5-trifluoromethyl-pyridin-2-yl-(hydroxyl)methyl]-2,6-dichlorobenzamide","AE-0608000",,,,,,,,,,,,,,
"817","2,6-dichlorobenzamide","AE C653711",,,,,,,,,,,,,,
"818","3-chloro-5-trifluoromethyl-pyridine-2-carboxylic acid","AE-C657188",,,,,,,,,,,,,,
"820","HEC-5725-des-chlorophenyl","HEC 7155",,,,,,,,,,,,,,
"821","HEC-5725-carboxylic acid","HEC 7180",,,,,,,,,,,,,,
"823","N-(4,6-dimethoxypyrimidine-2-yl)-N-(3-methoxycarbonyl-6-trifluoromethylpyridine-2-yl)-amine","IN-KY374",,,,,,,,,,,,,,
